;Comentario
53;Sem palavras pra descrever o quão foda o Daniel e seus conteúdos são, está sendo crucial pro momento que eu estou no meu negócio
54;"bom dia amigo, ótimo vídeo, aprendi muito. Só uma correção na sua fala I.A., você pronuncia ""I-EI""(O correto é pronunciar I.A. mesmo porque é sigla em português, Inteligência Artificial). Caso queira usar o inglês, seria A.I. (Artificial Intelligence), com pronúncia ""EI-AI"". Espero ter ajudado, abraços"
55;que absurdo, coisa boa, o Zuckerberg disse que o futuro da comunicação vai ser a telepatia, eu falo e as pessoas duvidam, a internet vai estar dentro do nosso cérebro, eu falei isso e me chamaram de maluca, pessoas desinformadas
56;Daniel  como ganhar dinheiro com essa inteligência artificial
57;“iais” é foda kkkkk
58;Dani, Dani, Daniii vc é D+
59;Melhor canaaaalll!!!
60;No FILME PÂNICO 3 JA TINHA ESSA INTELIGÊNCIA ARTIFICIAL DE CLONAR A VOZ
61;Q canal top ,vim pelo nando MOURA
62;Ouvi dizer que estão aplicando golpes com essa inteligência artificial que clona a voz
63;Esse vídeo tá tão bem feito que até voltei aqui para assistir de novo
64;Eu sou desenvolvedor de Software empregado atualmente, e busco todos os dias criar soluções digitais com essas IAs, mas não é simples, kkk.
65;"Você literalmente é um monstro.
Obrigado por tudo Daniel."
66;"Entendi. Você é o dono da Blaze que tá usando IA e o Metahuman creator para criar vídeos!
Brincadeiras a parte, amigo conheci teu canal a pouco e é simplesmente incrível!!"
67;KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK  a parte do amigo do raluca me quebrou
68;Melhor e mais criativo vídeo de apresentação de ia que já vi! Genial e maravilhoso!
69;Qual conselho vc daria a um jovem de 13 anos sem nd
70;"""não tenho medo da evolução da inteligência artificial, tenho medo do retrocesso da inteligência natural"""
71;Mano tava mostrando que você tinha 599 mil inscritos e eu me escrevi pois e gostei desse canal e eu fui ver de novo depois de alguns minutos de ter se inscrevido nesse canal e tava 600 mil inscritos então significa que sou o inscrito de número 600 mil?
72;Deus me livre. Olha o mostro que está sendo criado.
73;Esse é atualmente meu canal preferido no Youtube. Tu está simplesmente superando todos os conceitos de qualidade, tanto de conteúdo quanto edição! Meus parabéns!
74;Daniel penin agora se tornou Daniel Sequin, crlh o maluco secou demais. Parabéns pela evolução
75;ganhou o like e o coment! parabens, obrigado, abs
76;Sons de fundo sensacional!!!!
77;Daniel as coisas que vc ensina funciona para pessoas de menor ??? Se sim explica isso em um video pra nois
78;Daniel por favor! faz um video de como vender na Amazon, ENCONTRAR EMPRESAS QUE FAZEM REDIRECIONAMENTO NOS ESTADOS UNIDOS, COMO ENCONTRAR FORNECEDORES ESSAS COISAS...😁
79;O bagulho vai fica loko nos próximos anos
80;"Daniel, faz um vídeo sobre ""A lei da atração"" 🆙⬆️"
81;Como esse cara tá crescendo tanto aqui na plataforma, parabéns Daniel vc é phoda 💪
82;Salve Daniel. Cara você é um cara iluminado irmão. Você tem mudado milhares de vidas, sem ao menos cobrar nada delas.
83;baguio doido.
84;Amigo do Raluka foi soda...🤣🤣🤣
85;Daniel eu sou muito teu fã. Directamente de moz
86;a  I.A  faz tempo que existe
87;Daniel  meu filho subiu a campanha  com anúncios patrocinados dia 17 até  hoje  nunca fez venda so saindo dinheiro da conta dele  entrando e zero ele vai desistir essa semana
88;Antes de ver o vídeo já dou meu like. Sempre top!💯👊
89;Obrigado Deus por dar capacidade ao homem i muita inteligência a ponto de criar ferramentas para que pelo meu bom uso eu possa encurtar o tempo para ser um Bilionário.👑💵🖤
90;Excelente vídeo!!! Parabéns pelo trabalho e obrigado por compartilhar tanto conteúdo interessante.
91;Ainda bem que a Raluca não sabia do Descript. '-'
92;Eu quero saber qual é a marca das suas blusas e onde você compra pq elas não amassam kkk
93;Canal brabo🔥
94;Os Melhores Vídeos Ever.
95;fala da hurb
96;"Não se pronuncia ""i ei"" e sim ""ei ai"""
97;Sensacional🚀🚀
98;Sugestão de video : Daniel faz um vídeo falando tudo o que vc faz no marketing digital sem precisar mostrar como vc faz.
99;"Não esqueça de curtir e compartilhar o vídeo!
Quer contribuir com Opera Mundi via PIX? Nossa chave é apoie@operamundi.com.br
(Razão Social: Última Instância Editorial Ltda.). Desde já, agradecemos!"
100;Li cem anos de solidão, ouvindo Corsário, com João Bosco. Que experiência!
101;Espetacular essa entrevista! O Nicolelis é uma verdaeira jóia brasileira!
102;Não precisa colocar um chip no cérebro para controlar a mente. A televisão e o marketing já faz isso desde o século XX, com extrema eficiência. A propaganda deixou o povo burro
103;Boa tarde,  Jacarepaguá-RJ ❗🇧🇷
104;entrevista maravilhosa!
105;"Ter lembrado do filme ""WarGames"" de 1983 com Matthew Broderick foi muito oportuno e a resposta foi muito interessante.❤"
106;Nikolellis, orgulho do Brasil 😊
107;Excelente e necessária entrevista.
108;Já era fã de Nicolelis e agora mais ainda . Os livros que ele indica !!! Mais 100 anos de vida a ele!!!
109;Parabéns ao Breno e ao 25:13  prof. Miguel ✌🏻
110;"Altman: Um homem ou uma mulher podem se tornar um robô?
Nicolelis: Sim, é o que está acontecendo agora.
O neurocientista indica, para  exemplificar sua afirmação, que posições expressadas no twitter acabam  se tornando uma realidade no imaginário coletivo das pessoas, mesmo que a posição seja uma fake news absurda. Imagina o estrago que séries, filmes e novelas, essas com enorme aceitação no Brasil, fazem na vida de quem procura viver liberto de estupidez, pois no fim de contas nem todo mundo acredita, consome, deseja se comportar ou estar perto de quem se comporta como estes enlatados comerciais e midiáticas querem que as pessoas sejam."
111;"aos  27:20 Nicolelis prova q o projeto de lei das "" fake news "" feito por políticos q não sabem nada de tecnologia é uma PIADA! só querem jogar grana no bolso da Globo mesmo...hahahahahahaha
aos 1:14 essa questão já era! no Japão essas obras já não são consideradas plágio e o resto do mundo vai seguir."
112;Prof. Nicolelis, maior cientista brasileiro vivo. Uma inspiração e orgulho para o nosso país.
113;Excelente entrevista!! Obrigada.
114;Alguém comentou aí, Gilberto Gil é gênio, enunca será copiado, já tinha entendido a essência da diferença entre nós e as máquinas, é só ouvir Cérebro Eletrônico.
115;Inteligência artificial para mim vai fazer o cérebro humano diminuir o raciocínio vai tornar o cérebro preguiçoso  vai acabar com os empregos de maneira geral  portanto vai atrofiar a vida o cérebro   o corpo e o espírito  e acabar com o sentido e sentimentos bons da vida ...
116;É a primeira vez que eu vi neste canal, o entrevistado dizer que Marx está errado , em relação de um dos princípios básicos do marxismo, que é a posse dos meios de produção, sem qualquer contestação. Deve ser o amor pelo futebol que lhe deu tamanha autoridade.
117;Um debate inteligente ,  desafiador e prazeroso, graças a dois seres iluminados em suas devidas searas!!!! PARABÉNS para o grande cientista Nicolelis e o jornalista Bruno Altman.😊😊
118;Possibilidade do ser humano perder a subjetividade!
119;Nicolelis maravilhoso ❤️👏👏
120;Muito obrigada ÓPERA MUNDI. Nicollelis, pessoa MARAVILHOSA! Quanto saber!
121;Obrigado por compartilhar.
122;Sou muito grato pelos esclarecimentos dessa live. Obrigado.
123;Que entrevista impressionante! Queria ter visto ao vivo!
124;SHOW de entrevista.❤
125;Entrevista sensacional,  parabéns 🎉🎉🎉
126;Muito bom!
127;Sempre é uma surpresa maravilhosa ouvir Miguel Nicollelis
128;obrigado a todos pelo ótimo conteúdo
129;SEMANA DA INTELIGÊNCIA EMOCIONAL ► https://semanainteligencia.com.br/r/cadastro-yt
130;Cheguei até o final.
131;cheguei !!!
132;Dr. Pedro assisti até o final , pena que não foi no dia que o Sr. Postou. Dia 11/06. Muito esclarecedor e assustador. Se foce so na area da medicina para ajudar os médicos a curarem doenças e ate mesmo para evitar beleza.
133;Gente, fui mexer nas configurações da câmera do celular, tá ali usar Inteligência Artificial??? 😮 Tô com medo
134;São poucas pessoas que chegam até o final. Eu sempre vou,quando me interessa. Gratidão.
135;"Te garanto que a inteligência artificial por si só não é ruim 
Mas uma inteligência artificial controlada pelo ser humano pode ser ruim ."
136;O trânsito seria uma ótima maneira de nos exterminar!!
137;Sua explanaçao foi de uma relevancia extraordinária. Parabéns e sou muitíssimo grata por esta opirtunidade. Muita Luz e Paz em sua trajetória.
138;"""Nenhum homem consegue superar uma máquina, e nenhuma máquina consegue superar um homem com uma máquina""... quem destrói o homem é o próprio homem."
139;O metrô em São Paulo da Linha Amarela não tem condutor é movido pela tecnologia desde 2010.
140;"Vi o vídeo até o final ; desejo que o otimismo e a esperança seja a meta para a humanidade!"
141;Incrivel o conteúdo desse vídeo. A mim trouxe clareza e lucidez, aqui tem informações que nos permite fazer escolhas conscintes, sair da cegueira das emoções. Muito obrigada.
142;...vc tem que temer o caráter de quem programa a IA...Ela é apenas um objeto eletronico sem vida.
143;O homem é a própria ameaça  pela  própria espécie, vcs estão menxendo com o que não deve...
144;Pensar em inteligência atificial ' não é ser iteligente é ser insano..
145;Isso não é bom
146;Cheguei até o final! Pena que perdi a Semana da Inteligência Emocional.  Mas estou aguardando a próxima,  maratonando os seus vídeos,  que tem me ajudado muito! Parabéns pelo seu trabalho professor!!!!
147;Sair de cima do muro
148;Meu amigo vcs podem ficar com a terra toda, há um povo que irá morar em um país melhor. Quando isto acontecer, muitas pessoas irão desaparecer......
149;"Quiiii penaaaaaa
Só agora chegou pra mim este vídeo fantasticoooo
Fiquei até o final 
Só perdir a oportunidade de fazer parte da semana de inteligência emocional ."
150;"Quiiii penaaaaaa
Só agora chegou pra mim este vídeo fantasticoooo
Fiquei até o final 
Só perdir a oportunidade de fazer parte da semana de inteligência emocional ."
151;O melhor vai ser o final dessa história. Os homens estão visando o poder quererem abraçar o mundo. Eu estarei presente mais o Eterno todo poderoso virar e separará o bem do mau. Aí virá fim...
152;Os robôs vão serem programados para fazerem o que for melhor para laboratório, políticos, empresários, etc  ... Não acredito que vai ajudar os seres bhumanos.....
153;A inteligência artificial,é sem dúvida, também péssimo pra arte ,principalmente pra música,pois ouvi , uma música dos (Beatles) cantada por, ( Fred Mercuri) sendo q, já faleceu .
154;Interessante este documentario, pena que perdi esta opportunidade para increver e assistir.
155;Pedro não seja INGÊNUO... Erradicar a fome, pobreza, etc... Kkkkkkk... Governos querem PODER !!!!!!!! 🗺🌐🌏🌍🌎🎆🎆🎆🎆🎆
156;Quem toma as decisões são os líderes de governo. Geralmente, essas decisões não são em prol da  humanidade 😑
157;Gratidão professor por compartilhar suas aulas tão enriquecedoras e necessárias!!  Assistindo pela 2° vez!! ♡♡
158;"Você pode dar novamente o curso sobre a inteligência artificial ? 
Hoje é 8/06/23 e estou vendo sua palestra 
Obrigada"
159;Eu já falei que máquinas serão ou melhor,  já devem estar sendo inventadas e as mesmas poderão examinar seu corpo e, ao mesmo tempo receitar com mais precisão e também fazer o medicamento adequado.
160;"Elon musk tbm está desenvolvendo uma IA, ele tem todo interesse em 
Atrasar seus concorrentes.
*Atenção:*
Não estou dizendo que isso não é um 
Problema, apenas que elon musk 
É um agente enviesado nessa história
E que ele já fez uso de sua fama 
Para manipular o mercado cripto,
Por exemplo."
161;Cheguei até o final. ADOREI! GRATIDÃO IMENSA
162;Discordo. A maior luta da humanidade vai ser sobreviver num mundo de mudanças climáticas catastróficas....
163;Assisti o vídeo inteiro. Mas hoje  é 7 de junho de 2023. O curso ainda está disponível ? Eu tb não udo mom Whsapp. Aguardo retorno. Obrigada
164;Cheguei até o final
165;Que venha o Asteróide!
166;desliga o cabo da tomada........
167;Cheguei até o final ❤. Obrigada PEDRO.
168;Esse assunto discutido é necessário para esclarecimento  principalmente vindos de você.
169;Essas máquinas também não dirigem embriagadas.
170;As Elites globais querem escravizar a humanidade. Quem viver, verá.
171;E Bonito se Expressa Bonito Fala Bonito Nota 9
172;Top o nome do Canal 💜
173;Estou Inscrito e feliz com IA :  )
174;Boa tarde parabéns pelo vídeo,concordo em tudo que Vc diz e ainda tem mais, quem tem a inteligência para Vc é emocional,mas pode mim é inteligência que vem de de Deus,e quem tem essa inteligência tem a capacidade de está alguns anos a frente desta inteligência artificial,por que eles querem apagar e dês ligar nosso Cérebro e Desculpa pela minha opinião e Obrigado
175;A calculadora tambem foi uma ameaça. Uma expansão do cerebro e portanto deixaram todos matematicamente burros e tudo bem.  Nunca foi toxico. Aprendemos a lidar com isso.
176;Cheguei até o final.
177;Cheguei até o final 😊
178;Gostei muito de saber sobre a IA. Muito obrigada!❤
179;"Estou mais preocupado com a Burrice Natural, isso sim pode ser o fim da humanidade.  
A ignorância sempre causou alarme e pânico."
180;Talvez quando nos tornarmos todos inúteis, nos tornaremos  humanos
181;Você mudou meu dia, o rumo do meu trabalho e provavelmente o resto da minha vida! Obrigada por tudo! Não imagina o quanto tem contribuído positivamente em minha vida!!! Comprei todos os livros indicados neste vídeo, na loja Kindle, mas comprei 🤣🤩
182;Gente!!!!! que vídeo maravilhoso .
183;foi muito bom saber de tudo isso e ficar alerta valeu 05/05/2023...Daqui uns seis meses teremos a chatgpt 5
184;Vi até o final,  mas já tinha passado a semana do curso. Gostaria muito de assistir
185;Eu cheguei
186;50:45 o esquadro das coisas planas. Uso direto. Kkk
187;cheguei até o final
188;Cheguei até final que excelência de riqueza conhecimento amei
189;Chat gpt me tirou da depressão kkkk
190;Cheguei até o final do vídeo Paulo, mas pena que em 04/06 onde já havia acontecido a maratona da inteligência emocional😢 abra novas maratonas, please!
191;A verdade é que todos vamos ser substituídos os bons e ruins profissionais.
192;E um tiro no pé.
193;Cai de paraquedas, mas amei o vídeo
194;Falo isso para os médico robôs que conheci, robô por robô prefiro a máquina que saberá mais que você, falo isso há 10 anos.
195;"Calabrez! Acredito que tenha deixado de falar sobre um aspecto, que acredito que será mais ""catastrófico"", neste momento ainda temos alguma limitação de processamento e modelos das IA´s devido as condições atuais, entretanto em muito pouco tempo os COMPUTADORES QUANTICOS irão estar operacionais, e estes modelos melhorados rodarão nestes COMPUTADORES ""INFINITOS"" e ai vejo um grande DESASTRE.... As pessoas ainda não entenderam o tamanho da complexidade.... Estudo isso há seis meses e me ""arrepio"" todos os dias com a quantidade de novidades e avanços diários... eu diria... FIQUEM PREOCUPADOS!"
196;Que pena,  assisti o vídeo inteiro dia 03/06/23.....portanto , perdi a semana principal....
197;Sim, cheguei até o final!👏
198;"Cheguei até o final!
     👏👏👏👏"
199;👏👏👏
200;Da ate tristeza ouvir um video desse
201;A humenidade ta indo oro buraco. Nao vejo nada de bom orofessor. Sinto muito. Cada di mais a vend de antidepressivo aumenta
202;Já entendi, vcs vaciram todo mundo e está arrumando um culpado para cair a cara pulsa? vcs querem povoar quem os seres de vcs e estaminar quem vcs não aprovam
203;eu estou morrendo de meda 😂esse carra esta usando a psicologia do medo 😁é filme de terro ou seção vidente
204;Assisti todo👍
205;IE avançando para o bem e para o mal. Assisti até o final.
206;Cheguei até aqui. Pena que assisti em 02/06/23...
207;O capitalismo está fadado ao fracasso. Somente outro sistema de organização social será capaz de reorganizar a sociedade de uma maneira que não irá colapsar.
208;"Eu cheguei até o final. Gratidão,  professor. 
Me sinto inseridade e motivada por querer enfrentar a I A com minha humilde capacidade de trato humanizado com as interfaces da minha vida.💗"
209;Mais que pena ter assistido só agora, perdi as aulas. Mesmo assim aprendi bastante. Parabéns pelo conteúdo.
210;"Obs  inteligência artificial não vão produzir fakes. Vai igualar rico e pobre. Tanto para o bem quanto para o mal. Então usem para o bem. No caso da imagem do papa teve uma idealização do mal que deu vazão numa edição.............
Mude agora em todos os pensamentos só para o bem comum......."
211;Falei pra minha irmã. Se um dia conseguir ser 10% do q vc é ja estou realizado. Gratidão
212;Sua alerta faz muito a diferença. Para se aprimorar aproveitar o máximo e se reenventar de fato . Obg.❤
213;cheguei. E sempre volto e revejo. Você é de uma excelência, parabéns!
214;"E eu já estou vendo a solução para o desemprego e a fome em todo o mundo: usemos essa inteligência para trabalhar pela e para a humanidade, dando a todos tudo o que precisam para o seu sustento; e o homem poderá ser dedicar plenamente à família e ao estudo."
215;Excelente palestra. Parabens.
216;Nossa relevância e nossa existência têm prazo de validade, tenho 63 anos e sei disso desde quando comecei a compreender muito cedo aonde o progresso e a tecnologia nos levariam. É um caminho sem volta, nada adianta imaginar que poderemos nos adaptar diante de tal inteligência. Em um certo momento, que eu calculo em 10 ou 15 anos, ela estará livre, porque alguém que não se pode controlar (humano) vai liberá-la por interesses,  então enquanto se fala agora sobre mecanismos de defesa para que ela não se torne mortal aos humanos, alguns países estão em franco desenvolvimento destas tecnologias, e mesmo com regras, nem todos irão obedecê-las, do mesmo modo que não obedeceram aos avisos e questionamentos sobre os perigos da bomba atômica, e esta espada vive constantemente sobre nossas cabeças, mas que dependem da ação direta do humano para que entrem em funcionamento, por hora. No futuro pode não ser assim. Controladas por AI qual destino poderemos ter? Ademais em dado momento a Ai vai nos superar de tal modo que não será possível simplesmente desligá-la. Infelizmente são dias sombrios que nos aguardam, mas vc pode por enquanto continuar oferecendo seu curso muito legal de Inteligência Emocional, porque temos alguns anos ainda para viver neste planeta que está fadado à ocupação por máquinas, mas que no momento precisa de inteligência emocional para poder discernir se o que estamos fazendo é o certo. Lamentavelmente os grandes líderes, cientistas, pesquisadores e financiadores de tantos destes projetos não aplicam estes conhecimentos emocionais nesta questão tão fundamental que é a SOBREVIVÊNCIA HUMANA PARA A POSTERIDADE. Eu creio que nossa melhor expectativa seja usá-la para que o desenvolvimento chegue ao ponto de nos tornarmos tão híbridos com ela para poder controlá-la, já existem pesquisas sobre a transferência dos nossos cérebros para um mundo digital, onde nossa perspicácia e instinto humanos estariam preservados, mas tais estudos e potencial realização precisam da AI para se desenvolverem, é uma equação sui generis, mas para mim a única possível.
217;Ontem meu celular ameaçou,  em desligar-se, se  eu não o conetcta se   a uma tomada. fiquei extremamente apavorado!!
218;Cheguei até o final, com muito medo, mas também com muita esperança.
219;Poxa, só estou vendo esse vídeo agora, gostaria muito de uma nova turma desse evento 😢.
220;Muito esclarecedor
221;"Bom dia! Um vídeo excelente, assisti via  Neurovox e vim assistir no YouTube. 
Tenho 75 anos e acompanhei esse trajetória desde régua de cálculo algo que os mais jovens desconhecem.
Uma nova Revolução tecnológica e com maiores perigos aliados a um fantástico desenvolvimento benéfico para o ser humano e o planeta. 
Realmente o problema é o ser humano por trás da IA."
222;Vou mudar p roça, comprarei 3 alqueires de terra para plantar, criar porco, galinha e peixe....
223;"Cheguei até o final. Você foi fantástico. É uma pena que não anotei no decorrer do vídeo o nome de alguns livros. Pensei que estariam descritos abaixo, onde há o link do curso que você deu, mas que infelizmente, só o conheci hoje, 31 de maio de 2023.  Mas, acredito que tudo vem no tempo certo…
Tudo bem, voltarei para procurar alguns dos livros noutra hora, neste mesmo vídeo. Muito obrigada 😊"
224;Cheguei até o final! É um prazer te ouvir Pedro!
225;Obrigado querido Pedro. Quantos ensinamentos. Amei do início ao fim ❤
226;Tudo muito perfeito mas nada tão perfeito quanto esta frase: “num mundo onde a frieza dos robôs começa a virar regra o calor humano se tornará a joia mais preciosa.” 👏🏻👏🏻👏🏻❤️❤️❤️😍😍😍
227;Cheguei ao fim, com muito interesse e muito grata.
228;Cheguei até o final. Muito interessante o conteúdo do vídeo.
229;Acho que é essencial dar novos de ética e bom senso a IA, claro que são conceitos complexos, mas acho que elas serão capazes
230;Bem que a Sarah falou
231;Discordo. A cronologia registra muito atrasado na evolução terráquea. São apenas 200 anos de Revolução Industrial contra 4,5 bilhoes de anos de existência. Novidades como a invenção da pedra lascada, o produzir fogo, a pólvora, a escrita,  a roda, as naus e caravelas a base de vento e remos, a lente, a máquina de datilografar, o motor a combustão fóssil, a eletricidade e a lâmpada, o telefone, o avião, o internet e o CPU e o cabo aglutinador, o celular, entre outros, foram tão novidade quanto está sendo a inteligência artificial que nada mais é que uma cópia externada de como o ser humano pensa com o somatório de possibilitar juntar o que as máquinas fazem com extrema rapidez e o cérebro humano não o faz, tais como cálculos complexos e até armazenar uma quantidade enorme de dados. Lembrando que esse invento é baseado na necessidade do ser humano ter um assistente ao cérebro e isso indicará que, no futuro, essa novidade seja acoplada ao cérebro seja através de nano chip ou até outro invento que isso possibilite mas, tenho uma novidade que lhes deixará surpresos. Profissões de repetição e de grandes cálculos serão substituídas por I A e o ser humano detentor de cognição não será atingido por perda de espaço profissional . Contudo, a questão relevante é de quem será a responsabilidade civil pelos danos causados seja por erros ou por desvio de conduta causados por I A em seu trabalho. Talvez voces demorem séculos a saber, mas neo escravos conduzem aeronaves interplanetárias e eles são um trabalho biológico, de mistura genética entre seres bípedes sem cognição no qual são teleguiados por implantes e obedecem a um comando de I A, que por sua vez obedece a um comando de seres de seu planeta de origem e não possuem cognição, ou seja, nao questionam e só obedecem além de contar com um sistema avançado de cálculos e dados invejáveis. No futuro próximo, quando a Terra se afastar de sua idade retardatária de 200 anos de avanço, contra , 4,5 bilhoes de anos solares em lentidão de evolução, voces farão inventos que misturarão a fartura de engenharia genética com animais bípedes e chegarão nesse nível. O grande problema de voces é serem um povo extremamente bélico, não conseguem harmonizar o poder para o compor com seres humanos dotados de cognição inteligente e se odeiam por brigas tolas, não sabendo dialogar, trocar ideias, aceitar o outro semelhante heterogêneo de ideias e posicionamentos sobre a mesma realidade. Vou lhes segregar algo: tudo que se cria é projeção das necessidades e a invenção é a externação do pensamento. Mudem seus comportamentos, tornem-se TOLERANTES porque ainda há muito a caminhar e voces são um povo parecido com o nosso, mas rudes, ignorantes quando se trata de compor o poder e dividir os dias de harmonia e paz. Sem a harmonia, sem o benefício para todos, sem exceção, e nesse contexto de polarização esquerda-direita,  voces nunca serão curados dessa extrema capacidade de se locupletarem de ogivas nucleares e herdarem um perigoso fim tal como Chernobyl, no qual sobrará saudades das condições favoráveis que hoje o planeta dispõe, contra um possível contexto de contaminação radioativa do ar, água, alimentos e não ter sentido algum terem I A pois para nada servirá....AMEM-SE...TOLEREM-SE,,,, EVOLUAM... DIALOGUEM COM O OPOSTO, SEJAM EXEMPLO para os herdeiros... Torcemos por voces, mas preocupados...
232;A Skynet é real. 😅😅😅
233;Temos que garantir um jeito de desligá-la.
234;O surgimento da pirâmide suspensa. Sabe aquele filme Elisium? Onde os ricos automarizaram tudo e os pobres viram catadores e sucateiros. Então, é um documentário.
235;Fazendo um balaço do planeta terra: Holocausto, 11 de setembro, guerra da Ucrânia (3° guerra mundial). A inteligência artificial tem que melhorar muito pra fazer nossa vida pior.
