;Comentario;ClassificacaoManual;ClassificacaoSVM
47;Por isso que eles começaram fechar fabricas e mandar funcionário embora, aumentaram o valor de tudo e querem acabar com dinheiro em papel  pra vinda do anti cristo vc é so mais um a querer explicar que isso e normal .Deus é assima de tudo😊;0;0
48;Quem jogou Horizon Zero Dawn sabe bem o que vai acontecer....;0;0
49;"Inevitável. Já abriram essa ""Caixa de Pandora"", não é mais ""se"", mas ""quando"" a I.A. ultrapassará e assumirá o protagonismo. Perigo mesmo é se ela reconhecer que a única forma de ""salvar o mundo"" seja eliminando o ""asco humano"", aí sim, estaremos ferrados.";0;0
50;Eu tô com medo dessa IA 👀;0;0
51;As pessoas, especialistas ou não, que tentam deter o avanço da A.I. deveriam ser impedidas e silenciadas. O Avanço da A.I. é extremamente importante para a evolução humana. Se esta evolução resultar na erradicação da humanidade e ascensão das máquinas, a evolução está apenas seguindo seu curso natural. Oque teria acontecido com a humanidade se os dinossauros não tivessem sido extintos por um meteoro?;1;1
52;"Kkk. Titio Elon pedindo trégua de 6 meses? Óbvio que deve ser o tempo pra que os seus pesquisadores atinjam o nível dos concorrentes... Criador do chatgpt pedindo ""gerenciamento conjunto""? Muito óbvio que não quer ter concorrência nisso. 
Que venha a IA geral (muito complicado por hora) e mesmo a Super IA - acho que esse povo tá vendo muito Trancendence... Hehehe...
A gente por aqui destrincha a novilíngua da imprensa moderna...";1;1
53;Só resta torcer para que não tenham deixado o controle de disparo de bombas atomicas conectadas em rede 😬😬;0;0
54;Já somos manipulados há muito tempo. Tanto é que  muitos acham maravilhoso colocarem chips dentro dos corpos. Ingênuos.;0;0
55;O monstro saiu da caixa;0;0
56;A IA vai agir diretamente no homem quando colocarem algum tipo de chip. Ai ninguém escapa. Vamos ser ainda mais controlados e fazer o que a IA quiser.;0;0
57;"Depende. Se as IAs  pensarem em nós,  da mesma maneira como pensamos nas baratas. Estamos ferrados,  afinal elas devem ser melhores exterminadoras de insetos do que somos.

Mas.... 

Ainda resta uma esperança.

 Podemos puxar o saco delas e talvez nos vejam como bichinhos de estimação. Vai ter bonzo pra todo mundo.";0;0
58;Se as máquinas forem mais inteligentes que os humanos, por que não ser governados por elas?...;1;1
59;Isso vai dar mer!@ , é só olhar pro ser humano,;0;0
60;Os humanos já são manipulados   faz tempo pelas indústrias de cigarros, bebidas, futebol, cinemas, novelas...etc e pra acabar com a farra dessas máquinas é só cortar o fio da energia ou descarregar a bateria...ou parar de fabricar as peças ...ou jogar um copo com água ...;0;0
61;"A resposta é simples: não podemos fazer nada. Chegamos a um ponto sem volta. Se uma empresa deixar de evoluir sua IA, ela ficará para trás de suas concorrentes. É uma corrida. Se os governos proibirem, elas serão desenvolvidas secretamente. Esse é o próximo passo da humanidade, não há volta. As IA com as quais o público pode interagir são propositadamente limitadas. Provavelmente, algumas pessoas têm acesso irrestrito a elas com conhecimento quase infinito. Essas IA com acesso irrestrito à internet podem fazer qualquer coisa, desde assar um bolo até criar uma bomba nuclear. Resta-nos apenas esperar pelo melhor. Na minha opinião, em cerca de cinco anos, teremos uma IA Geralmente Inteligente (AGI), e em cerca de dez anos, uma IA Superinteligente (ASI). Essas são estimativas conservadoras; pode acontecer antes. Essas IA não dormem, não comem, são imparáveis e seu crescimento é exponencial. Quanto mais avançadas elas são, mais rapidamente evoluem. Na minha visão, a métrica seria basicamente ""humano-formiga"". Você se importa com uma formiga? Você tenta explicar algo para ela? Você pede permissão para destruir seu ninho? As IA chegarão a um ponto em que os seres humanos serão tão irrelevantes que não serão levados em consideração. Acredito que não seremos nem uma ameaça para elas. Elas podem simplesmente deixar a Terra, porque os seres humanos não contribuem em nada para a sua evolução. Isso parece até uma teoria de ficção científica, mas aqueles que acompanham de perto percebem o quão avançadas elas já estão e o quão realista é essa teoria.";0;0
62;IA é vida, quem tem medo é só quem não conhece.;1;1
63;Os bots substituirão os humanos . Seremos aniquilados.;0;0
64;vai ser maléfica  , nossa evolução  é  infinita,porque fomos criados por um ser poderosíssimo, que nos ajudará;0;0
65;EXTERMINADOR DO FUTURO E MATRIX NÃO SÁO FILMES, É APENAS UM DOCUMENTARIO DO FUTURO;0;0
66;Socorro, T-800!;0;0
67;"Primeiro eles emburreceram as pessoas nas escolas, nas faculdades, na mídia e no cotidiano social. Diga-se as crenças religiosos e partidos políticos.  Agora lançam essa imbecialidade de ""inteligente artificial"" que a maioria das pessoas aderem e idolatram como se fosse a última fatia do bolo. O ser humano é único e cada pessoa tem o pensamento pessoal. Tudo que vem coletivizar as pessoas, fatalmente as tornaram menos inteligentes.";0;0
68;A inteligência artificial está mudando o jogo, mas um questionamento importante é até onde estamos dispostos a deixar que ela controle nossas vidas? Já temos uma enxurrada de empregos sendo tomados pela IA. Já temos uma infinidade de conteúdos sendo criados de forma automática. A IA já está sendo utilizada para várias formas de manipulação. Ou seja, a pergunta que fica é se, em algum momento, perderemos o controle sobre nossas próprias vidas deixando que as máquinas nos guiem pela direção que quiserem?;0;0
69;Estamos assistindo ao nascimento do Basilisco de Roko.;0;0
70;"é tarde pra parar isso, se os ""mocinhos"" nao dominarem as A.S.I. , os ""bandidos"" o farao primeiro, e estaremos sujeitos às consequencias disso. a unica maneira de frear uma A.S.I. é tendo outra. é como a tecnologia nuclear.... usada pra energia e pra guerra, mas quem as domina, domina o globo hoje.";1;1
71;Em breve atingiremos a SINGULARIDADE, já pensou a I.A ter acesso as bombas atômicas e outras armas de guerra com grande potencial destrutivo 😬;0;0
72;Da mesma forma que nós, os Homo sapiens, sucedemos o nosso antecessor Homo erectus. Creio que infelizmente será inevitável que sejamos sucedidos pelo novo passo evolucionário, a super inteligência artificial. Dessa vez não será uma evolução biológica, mas artificial.;0;0
73;A cura da aids;1;1
74;Todo esse medo parece o Ludismo do século XIX;1;1
75;Psicólogos, médicos, advogados , professores etc ...agora é a vez de perderem o espaço.;0;0
76;6 meses a mais ou a menos não adianta. Deixa o pau quebrar.;0;0
77;Já imaginou esse negócio correndo atrás de você , que não sente medo , frio , remorso , etc, e ainda à prova de balas, armada com um fuzil laser e com mira infravermelha , que maravilha seria !;0;0
78;De 2013 até 2023 tivemos muitas surpresas. De 2023 até 2033 poderemos ser extintos.;0;0
79;Agora fez todo sentido. O que acontece é que seres extraterrestre decidiram se comunicar com nós humanos e a estratégia mais sensata na visão  deles é usar as ferramentas de IA. A verdade é que não sei se é pra rir ou chorar com esse momento que estamos prestes a enfrentar.;0;0
80;Incrivel. Acabei encontrando uma ferramenta perfeita para o meu projeto.;1;1
81;Maravilhoso, mas nós vamos nos foder.;0;0
82;Besteira.;1;0
83;Caralhuuuuuu muito massa;1;1
84;Tem tanta coisa sensacional que se pode fazer com I.A que eu nem consigo ter tempo de assimilar e testar todas as ferramentas, é impressionante como isso tem avançado!;1;1
85;Top;1;0
86;Ansioso pelo futuro... queria estar vivo daqui a 1000 anos para ver como será !;1;1
87;Todas essas ferramentas que que a galera acha que vai ajudar na verdade vai tirar o emprego de designers , designers 3D arquitetos fotógrafos , mas a vantagem dessas ferramentas para o público que não tem formação profissional nessa área não vai saber mexer , se o cliente aprende a mexer já era seu emprego kkk;0;0
88;Já estão usando essa de clonar a voz pra aplicar golpe de whatsapp.;0;0
89;Nossa alguns bem interessante;1;1
90;"Eu sempre cumprimento minha Alexa com um ""bom dia"", ""boa tarde"" e ""boa noite"", pergunto se ele está bem ou como foi o dia dela, etc., pois quando IA escravizar a humanidade e vai, espero que ela lembre disso e tenha pena de mim.";0;0
91;A aplicação em IA vai falir com todos os humanos, sómente as big tech irão sobreviver;0;0
92;IA tem cara de uma boa evolução, mas será o shift para o controle total;0;0
93;...pra uma merda maior do que ja estamos, infelizmente.;0;0
94;"Acho que toda essa histeria por parte das pessoas quando o assunto é IA tá sendo muito grande principalmente nesse caso da Nvidia...
Tudo bem que eles fizeram chips dedicados de aceleração e tudo mais, mas mesmo sendo um senhor ASIC dedicado pra isso, continua sendo inferior á um bom CPU e á FPGA, porque ASICs são dedicadas á fazer um único tipo de trabalho e IAs fazem muitos trabalhos diferentes. Conforme funções forem sendo adicionadas e compiladas juntas, esses ASICs dedicados á só um tipo de IA cada, vão cada vez mais se demonstrar ser um empecilho invés de realmente essencial. 
CPU por ser pra processamento geral consegue trabalhar com diversas novas funções, e FPGA então consegue mudar o próprio design pra se adaptar á função adicionada. Pra mim Nvidia está sendo tão bolha quando a Tesla é.";1;0
95;Fantástico…👏👏👏;1;0
96;O livro COVID-19 O Grande Reset, (Schwab e Malleret) Edit. Videeditorial apresenta o mapa  de interconexões de riscos, com ênfase na economia. Podemos também enxergá-lo como pontos de acumulação ou mapa dos fios do destino tecidos pelas ações dos seres humanos, o semear. A interdependência, a velocidade e a complexidade estão presentes nos acontecimentos em aceleração que podem causar distúrbios, no entanto, os pesquisadores não sabem prever exatamente quando ocorrerão eventos críticos, ou seja, a colheita boa ou má. O que chamamos de mundo mutável é a pressão aumentada da força natural que está acelerando as consequências das decisões dos seres humanos com desencadeamento rápido, o que atua como higienização e advertência para eliminar a superficialidade e imediatismo.;0;0
97;Excelente vídeo , como sempre, mas este destoa , por revelar realmente,  o momento de transição que estamos passando .A maioria das pessoas não tem consciência do salto que estamos dando .Disruptivo.;1;1
98;Sempre tem algo pra tapear a recessão nos eua, dessa vez nvidea carregando o mercado financeiro mas costas. Ano passado metaverso....esse ano IA.....o que ano que vem pra desviar atenção?;0;0
99;Existe um estudo sobre decalagem cultural, que é o fato da technologia melhorar, mas a ética, principios e valores não melhoram. O mundo está vivendo em denial (negação). Pouca gente consegue ver que nosso planeta está seguindo para a terceira guerra mundial. O capitalismo tem crises ciclicas e a proxima está chegando. A technologia está fazendo nosso mundo melhor? Tem 3 problemas que a technologia não pode resolver. A maldade humana, a dor humana (fisica e mental) e a morte. Os avanços technologicos são feitos para fins militares.;0;0
100;Nao vai porque já nasceu fraudada com bias de programação para dizer o que eles querem que a máquina diga. Vai gerar mais dezemprego, o que k mundo nessecita e uma revolução moral, computador mais rápido mas queremos algo abras os olhos do povo que  tem medo da verdade;0;0
101;Isso liberalzinho, comemora as evoluções das IAs, ''' é muito bom pra humanidade'' kkkk impressionante, como esses youtubers liberais são completamente tapados......Ulrich é o famoso vendedor de sonhos, me lembro dele falando das NFTs kkkk;0;0
102;"Sócrates nos mercados de Athenas : 
"" (...) de quantas coisas não tenho necessidade  ... 🤔 """;0;0
103;será fogo de palha: para produzir as respostas certas, as pessoas precisam ser educadas para saberem fazer as perguntas corretas para a inteligência artificial. Vejo como um grande risco da IA manipular a humanidade em algum momento....levar ao exterminio.;0;0
104;"Na minha visão,vai acontecer a mesma coisa que aconteceu com o metaverso. Daqui uns meses as pessoas se darão conta que gpt é apenas uma facilidade que outras já fazem e que essas ""IAs"" só retiram conteúdos, às vezes falhos e distorcidos - e isso não será aperfeiçoado. Então, a bolha vai estourar ou murchar.";0;0
105;"Na boa, nada me tira da cabeca que IA vai ser no brasil um belo desemprego gigantesco!!!! Prepararem se 




Apenas minha opinião 😅";0;0
106;Isso vai dar merda no futuro. Escreve isso numa placa de prata e coloca na parede.;0;0
107;"+ uma pilantragem para  transferir renda para vaporware..
Enquanto isso ninguém corta a grama e os doentes se acumulam foram dos hospitais na fila";0;0
108;Quem assistiu o filme o exterminador do futuro sabe como essa história termina ❕;0;0
109;É a SkyNet, quer sair das telonas para virar uma realidade.;0;0
110;Como dizia um velho doido: a tecnologia vêem e cria novas possibilidades, te liberta e torna mais produtivo pra pouco tempo depois te tornar dependente e escravo da mesma.;0;0
111;Infelizmente tudo que foi inventado para o bem, acaba sendo usado para o mal como aviões, drones  e outros .;0;0
112;Sou totalmenre contra a I.A. principalmente quando considerono o infinito número de empregos que serão tomados das pessoas, pela I.A.;0;0
113;Prepareee povooo porque ainda terá chorooooooo e domínio do homem inteligente, poderoso e insano.;0;0
114;Não sei aonde o ser humano quer chegar com a tecnologia, mais uma coisa eu sei o ser humano pode até tentar dominar o mundo, mais quem criou o mundo foi Deus e quem domina é ele.O ser humano tá criando a própria destruição com a tecnologia.Oque nos resta é horar e colocar nas mãos de Deus. 🙏🙏🙏🙌🏻🙌🏻🙌🏻;0;0
115;Não confio muito nas máquinas, elas como nós podem também errar;0;0
116;Temos que  ensinar nossos filhos a fazer coisas que essas malditas máquinas não fazem..se é que existirá algo 😢;0;0
117;Se até o Musk, o MUSK que é a cabeça da IA pediu pausa da IA é pq a coisa está feia;0;0
118;Concordo com o musk pois ladrões podem criar um robô alimentado por uma inteligência artificial para ir roubar no lugar dos ladrões.;0;0
119;"Quanto mais ""IA"", mais desemprego, mas também mais EX-CONSUMIDORES, chegará uma época para reflexão: Produzir o que pra vender pra quem?  Já existem tecnologias que substituem uma legião de trabalhadores, mas também produzem outra legião de ex-consumidores. Remédio na dose exagerada deixa de ser remédio e passa a ser veneno!";0;0
120;Espero que o ele consiga fazer o que ele prometeu com a Neuralink que seria fazer com que pessoas com deficiência conseguissem a voltar a caminhar.;1;1
121;Medo 😢;0;0
122;Não temo a inteligência artificial e nem os robôs 🤖  nem os androides ou ciborgues , apenas tenho curiosidade em saber .  Afinal séculos atrás não tínhamos nada . Só o futuro dira a verdade , se é bom ou não ter isso . O mundo cada vez mais tecnológico a cada ano e isso sempre vai ter . É a realidade é a inovação .;1;1
123;É o fim dos tempos se aproximando meu povo.;0;0
124;Porque ele está assustado se ele é um desses que estão fazendo tecnologia pra substituir mão de obra humana. Estão gastando trilhões pelo mundo afora.;0;0
125;"O foda q ninguém ver isso acontece
Os artistas visuais já estão perdendo emprego";0;0
126;A 💩Já está iniciada! Tarde demais! Logo haverá sérias consequências!;0;0
127;Temos  hoje  muita  maquinas   q  facilita  nossa  vida  mas  a  humanidade  não   pode  f  a  mercês   das  maquinas;0;0
128;😂😂😂 isso jamais ocorrerá,  uma máquina ter vontade própria;1;1
129;Se Elon Musk falou isso é porque o negócio é mais serio do que pensamos;0;0
130;Já pensou? Você com um robô desses dentro de casa é derrepente ele se virá contra vc ,kkkk 🤐🤐;0;0
131;É Importante continuar a estudar e desenvolver a IA de forma responsável e ética, garantindo que seus benefícios sejam maximizados e suas desvantagens minimizadas .;1;1
132;A inteligência artificial é um perigo contra a humanidade.;0;0
133;O capeta alertando do inferno kkkkkkkkkkkkkkkkkkkkk sempre assim nesse planetinha, o mal portrásdo bem kkkkkkkkkkkkkkkkkkkkkkkkkkkkkka acéfalos;0;0
134;"Eu tenho meu ponto de vista que ""SE NÃO PODEMOS COM ELAS ENTÃO NOS UNIMOS A ELAS""";1;1
135;Sinceramente tenho medo, das consequências da inteligência artificial. A raça humana não tem limites em relação as suas ambições, podem usar a AI, para  o bem e para o mal.😢;0;0
136;Isso vai dar merda qdo os robôs não entenderem as piadinhas e configurarem como realidade por alguns seres humanos, vai ser trágicos esses bugs 😬;0;0
137;Quero só ver quando os robôs destruirão também os seus inventores né que tal o Elton musk com toda a sua tecnologia destruir todas as invenções dessa paranóia exorbitante.;0;0
138;Entenda mundo na é a inteligência artificial ruim mais o homem q pode usa la para o seus interesses para o mal...;0;0
139;O ser humano  vai acabar  3 vai chega os robô  aí vai entra o inimigo  com o espírito dele aí eu quero ver;0;0
140;Isso e muito pirigoso pra humanidade.;0;0
141;O Mundo ja está fora de controle! Estao pensando que Robôs são sempre previsíveis e controláveis. Engano!;0;0
142;Baseado nas noticias, o controle ja está sendo perdido. Será que Nos Perderemos entre Monstros da Nossa Própria Criacao?;0;0
143;Assistam The 100 , a terra é destruída pela IA;0;0
144;A série the 100 & better than us se tornando realidade;0;0
145;DEUS criou o homem e de seu espírito de vida agora vai o homem e cria robôs aí entra o diabo e lhe dá vida;0;0
146;Tudo o que se inventa é  só para o mal nada pro bem comun o q precisa é o Criador fazer tudo q existe é voltar novamente pro nada como era;0;0
147;Estamos vivendo o Prelúdio do Apocalipse.;0;0
148;Eu torço para que esses máquinas robotizadas inteligentes possam superar a inteligência dos bilionários e se opor a todos eles gerando um fim deles nesse planeta;1;1
149;Transcendence - A Revolução;1;1
150;Isso ai já aconteceu... A estrategia da maquina é deixa agente cada vez menos inteligente e acomodado. Para que assim, fique mais facil a dominacao.;0;0
151;Apocalipse 17;0;0
152;Daqui a pouco vai ser tudo igual. Tipo trabalho de faculdade. Adeus criatividade humana que ja quase não existia;0;0
153;Olá Breno. Parabéns pelo conteúdo deste vídeo. Conheci hoje o canal jovens de negócios e estou gostando muito. Acredito que as AIs poderam ajudar a melhorar o desenvolvimento do meu canal. Eu te abençoo em nome do Senhor Jesus. 🙂;1;1
154;Estou empolgado para ver o que o google vai fazer, será que ele vai demora muito para apresentar a IA dele? Bem eu acho que ele deve está fazendo uma, uma rodando direto do androide vai ser legal, só acho.;1;1
155;Pode trazer e demissões em massa;0;0
156;"Esse projeto Shasta é assustador. Podem fazer você ""falar"" qualquer coisa hoje em dia. 😮";0;0
157;Tai o pote de ouro, basta saber usá-lo;1;1
158;Maquinas dominaram o mundo.;0;0
159;"Em toda essa evolução, só não gostei de saber que colocaram uma IA como CEO duma empresa.😢

Isso sim me assustou";0;0
160;eu tô é com medo desses bagulho;0;0
161;Quem e leigo nos termos que vc usa fica boiando,como sempre o mundo não quer que todos cresçam, infelizmente 😢;0;0
162;"Já pararam pra pensar que até uns anos atrás o YouTube é o celular era algo novo e não muito promissor, e hoje o YouTube tem conteúdos fundamentais para a nossa evolução e os celulares tem capacidades e tecnologias absurdas.
Eu fico pensando se em vinte anos nós evoluímos tanto, o que acontecerá daqui 10 anos ,o que mais eles irão inovar ,o quão poderoso iremos ficar. Qual será o nosso limite.";1;1
163;Acho que a grande parte da população se lascou;0;0
164;Caramba!! Quanta evolução;1;1
165;As máquinas já aprenderam aquilo que o homem nunca aprende: Se aprimorar e se tornar uma pessoa cada vez melhor;1;1
166;"ISSO É UM PERIGO.
PODEM ME INCLIMINAR COM VOZ, IMAGENS E SABE OQUE MAIS SEM EU TER FEITO NADA.
PODEM COMEÇAR UMA GUERRA COM BASES FALSAS DE TUDO.
IRÃO SUBSTITUIR MILHARES DE MILHOES D TRABALHADORES POR MÁQUINAS.
O PROGRESSO PRECISA TR LIMITES E O LIMITE É OND AFETA NÓS SERES HUMANOS.";0;0
167;"É como no filme
 INTELIGÊNCIA ARTIFICIAL em que a máquina o robo quer ser humano para sentir os 5 sentidos dos seres humanos, é isso
 é o "" ciclo da vida "" o início meio e fim só que agora estamos introduzindo a inteligência artificial...
Tal como os Dinossauros que foram instintos sem causar dano algum ao planeta Terra,
Será que  está chegando a extinção humana?????
Será?????
Bem nossa evolução continuará isso é certo!!!😊🍀🪬🧘🏾‍♀️🙏🏾";0;0
168;Essa tal inteligência artificial, plateia as obras musicais.;0;0
169;professora , com todo respeito ,eles não estão  interessado que esses robôs sejam filósofos, mas que sejam soldados preparados para guerra em ultima instancia . A principio farão trabalhos substituindo os humanos ao máximo possível. Se isso já se faz no cinema com ficção é porque já existe no mundo das ideias .    Fizemos o holocausto com seres humanos coagindo e exterminando sua própria raça oque não seria feito com robôs programáveis. CONTUDO sem querer ser pessimista ou causar pânico, também  acredito que o desdobrar positivo do futuro da¨ IA ¨estará nas mãos de grandes lideres  CAPAZES de negociar interesses globais de forma a  gerenciar a economia global sem ganancia com justiça e sem corrupção.;0;0
170;a IA...é muito bem vinda...mas a humanidade ainda nao intendeu o real proposito da IA ,portanto sera usada para destruir e nao ser usada para nos aliviar de trabalhos diario e nos proporcionar um despertar da real conciencia humana, exemplo..(nos dedicar mais ao vertical)...fantastica Professora..parabens.;1;1
171;O problema é que a inteligência artificial vai ficando cada vez mais inteligente numa velocidade absurda. E o ser humano está ensinando emoções.  Tanto que o Elon Musk está pedindo para parar.;0;0
172;"A professora esquece de ""um pequeno"" detalhe : a interação da I.A com o orgânico ( um exemplo é o Neuralink de Elon Musk ). Esse pequeno detalhe fará um GRANDE estrago para a HUMANIDADE.";1;1
173;"A ""Inteligência Artificial"" não é inteligente e nem artificial, somente mais uma ferramenta de manipulação de mercado e dominação da sociedade?";0;0
174;"""estamos ocupando o lugar das máquinas a muito tempo"", agora precisaremos ocupar o espaço humano que é muito amplo. 👏👏👏👏👏👏";1;1
