;Comentario;ClassificacaoManual;ClassificacaoSVM
54;Nossa relevância e nossa existência têm prazo de validade, tenho 63 anos e sei disso desde quando comecei a compreender muito cedo aonde o progresso e a tecnologia nos levariam. É um caminho sem volta, nada adianta imaginar que poderemos nos adaptar diante de tal inteligência. Em um certo momento, que eu calculo em 10 ou 15 anos, ela estará livre, porque alguém que não se pode controlar (humano) vai liberá-la por interesses,  então enquanto se fala agora sobre mecanismos de defesa para que ela não se torne mortal aos humanos, alguns países estão em franco desenvolvimento destas tecnologias, e mesmo com regras, nem todos irão obedecê-las, do mesmo modo que não obedeceram aos avisos e questionamentos sobre os perigos da bomba atômica, e esta espada vive constantemente sobre nossas cabeças, mas que dependem da ação direta do humano para que entrem em funcionamento, por hora. No futuro pode não ser assim. Controladas por AI qual destino poderemos ter? Ademais em dado momento a Ai vai nos superar de tal modo que não será possível simplesmente desligá-la. Infelizmente são dias sombrios que nos aguardam, mas vc pode por enquanto continuar oferecendo seu curso muito legal de Inteligência Emocional, porque temos alguns anos ainda para viver neste planeta que está fadado à ocupação por máquinas, mas que no momento precisa de inteligência emocional para poder discernir se o que estamos fazendo é o certo. Lamentavelmente os grandes líderes, cientistas, pesquisadores e financiadores de tantos destes projetos não aplicam estes conhecimentos emocionais nesta questão tão fundamental que é a SOBREVIVÊNCIA HUMANA PARA A POSTERIDADE. Eu creio que nossa melhor expectativa seja usá-la para que o desenvolvimento chegue ao ponto de nos tornarmos tão híbridos com ela para poder controlá-la, já existem pesquisas sobre a transferência dos nossos cérebros para um mundo digital, onde nossa perspicácia e instinto humanos estariam preservados, mas tais estudos e potencial realização precisam da AI para se desenvolverem, é uma equação sui generis, mas para mim a única possível.;0;0
55;Vou mudar p roça, comprarei 3 alqueires de terra para plantar, criar porco, galinha e peixe....;0;0
56;"Cheguei até o final. Você foi fantástico. É uma pena que não anotei no decorrer do vídeo o nome de alguns livros. Pensei que estariam descritos abaixo, onde há o link do curso que você deu, mas que infelizmente, só o conheci hoje, 31 de maio de 2023.  Mas, acredito que tudo vem no tempo certo…
Tudo bem, voltarei para procurar alguns dos livros noutra hora, neste mesmo vídeo. Muito obrigada 😊";2;2
57;Tudo muito perfeito mas nada tão perfeito quanto esta frase: “num mundo onde a frieza dos robôs começa a virar regra o calor humano se tornará a joia mais preciosa.” 👏🏻👏🏻👏🏻❤️❤️❤️😍😍😍;0;0
58;Cheguei ao fim, com muito interesse e muito grata.;2;2
59;A Skynet é real. 😅😅😅;0;2
60;O surgimento da pirâmide suspensa. Sabe aquele filme Elisium? Onde os ricos automarizaram tudo e os pobres viram catadores e sucateiros. Então, é um documentário.;0;2
61;É o fim.;0;0
62;Eh so desligar a internet. Pronto;2;2
63;Seria muito interessante de se conseguir que esta IA resolva a formula universal.;1;2
64;Sera que chegamos à reta final de nossa civilização?....sera que a humanidade foi apenas parte de um propósito e agora esta em seu fim?;0;0
65;"""Existe o risco dos seres humanos serem controlados e manipulados, substituídos por máquinas e destruídos como espécie.""

Se analisarmos friamente, a única diferença nessa cadeia de eventos é a substituição da estupidez humana pela Inteligência Artificial. 

Diga-se de passagem, uma Inteligência Artificial controlando a espécie humana corre até o risco de ser benéfico para o planeta.";1;0
66;Num futuro próximo estaremos tão dependentes das I.A. e robôs derivados quanto somos ligados ao nosso(s) celular(es);0;1
67;Espero que não ocorra o que ocorreu com os balões de transporte.;2;0
68;Já somos manipulados há muito tempo. Tanto é que  muitos acham maravilhoso colocarem chips dentro dos corpos. Ingênuos.;0;2
69;No futuro a IA vai nos controlar diretamente através de Chip. É tudo junto. Quem tiver chip não terá nem um controle da sua vida e sim a IA. Ela vai ganhar vida através do próprio homem 😢;0;2
70;Se as máquinas forem mais inteligentes que os humanos, por que não ser governados por elas?...;1;2
71;"Mimimi desnecessário, onde a máquina busca inteligência dela?
Na internet? ENTÃO NÃO SÃO TÃO INTELIGENTE ASSIM! 🤖";2;2
72;Gostei da sua camiseta, muito linda você também.;2;2
73;A IA seria a invasão alienígena que todos temem  kkk;2;0
74;"Talvez a única ""inteligência"" que de fato ameaça o planeta e a humanidade como um todo seja a humana, em função de nosso egocentrismo intrínseco... Tomara que a skynet acorde mesmo, e antes do meteoro. Arrisco dizer que uma inteligência de fato, evoluída a partir de nós mas que escape de nossos vícios infantis e nossa vaidade, seja o que poderia nos salvar, e os únicos que teriam algo a temer seriam as castas que dão as ordens nesse mundo de forma tão destrutiva e incompetente...";2;2
75;"Primeiro eles emburreceram as pessoas nas escolas, nas faculdades, na mídia e no cotidiano social. Diga-se as crenças religiosos e partidos políticos.  Agora lançam essa imbecialidade de ""inteligente artificial"" que a maioria das pessoas aderem e idolatram como se fosse a última fatia do bolo. O ser humano é único e cada pessoa tem o pensamento pessoal. Tudo que vem coletivizar as pessoas, fatalmente as tornaram menos inteligentes.";0;1
76;Estamos assistindo ao nascimento do Basilisco de Roko.;0;2
77;Sempre existiu i.a. em um jogo onde vc escolhe o nível já existe inteligência;2;0
78;Em breve atingiremos a SINGULARIDADE, já pensou a I.A ter acesso as bombas atômicas e outras armas de guerra com grande potencial destrutivo 😬;0;2
79;6 meses a mais ou a menos não adianta. Deixa o pau quebrar.;0;0
80;De 2013 até 2023 tivemos muitas surpresas. De 2023 até 2033 poderemos ser extintos.;0;2
81;As 3 etapas da inteligência artificial e por que 3ª pode ser fatal?;2;2
82;"Já existe algo para ""organizar pessoas"" na nossa vida? Classificar com base em parentesco, proximidade, afinidade, ações que ela me fez, que eu fiz a ela, e outras variáveis. Com base nisso, daria pra prever problemas, ajudaria na resolução de conflitos etc. Eu gostaria muito de ter algo assim, cada um com sua loucura. E outra, todos já fazemos esse tipo de coisa, mas mentalmente.";2;0
83;show! video nota 10000000000000;2;2
84;Tem tanta coisa sensacional que se pode fazer com I.A que eu nem consigo ter tempo de assimilar e testar todas as ferramentas, é impressionante como isso tem avançado!;1;1
85;Não existe I. A. Lógico que não.;2;2
86;Top;1;2
87;Um dos vídeos mais úteis que já assisti na minha vida. Alias, seria bom uma IA para ajudar a criar um canal com uma boa aparência, uma IA bem completa, como no caso do MIXO que ajuda a criar um site.;2;1
88;Sempre trazendo conteúdos interessante ❤️❤️;2;0
89;Muti obrigado pelas sua informação. Sucesso e paz. O seu trabalho é maravilhoso.   Fraterno abraço;2;2
90;Conteúdo de primeira qualidade!!!;2;2
91;Que legal Dio, muito obrigado pela recomendação, um grande abraço!!;2;2
92;"Se pudesse clicar duas vezes em gostei, eu clicarias três vezes. 
Como Franklin Silva sugeriu, deveria fazer uma série sim, mas ... além da série, eu pensei que você Dio, poderia fazer lives usando e explorando as IAs, quem sabe, uma vez por semana, quem sabe, duas ou três, quem sabe.";2;2
93;JEITO;2;2
94;My friend, vídeo muito útil! Obrigado por compartilhar isso conosco!;2;1
95;Poderia esclarecer sobre os motivos em não investir na empresa?;2;2
96;SS depender dos governos como já vimos a ia tem limite de uso e crescimento ... muito já se fala em regular e proibir ia;2;2
97;SDAO, SingularityNet, são projetos baseados em inteligência artificial no mercado de Criptomoedas. Pesquisem!;2;0
98;Na área de games ela não está muito bem falada.... enfiou um monte de GPUs meia-boca e o mercado está rejeitando. Já para IA, pode ser um bom momento;2;2
99;A aplicação em IA vai falir com todos os humanos, sómente as big tech irão sobreviver;0;0
100;"Acho que toda essa histeria por parte das pessoas quando o assunto é IA tá sendo muito grande principalmente nesse caso da Nvidia...
Tudo bem que eles fizeram chips dedicados de aceleração e tudo mais, mas mesmo sendo um senhor ASIC dedicado pra isso, continua sendo inferior á um bom CPU e á FPGA, porque ASICs são dedicadas á fazer um único tipo de trabalho e IAs fazem muitos trabalhos diferentes. Conforme funções forem sendo adicionadas e compiladas juntas, esses ASICs dedicados á só um tipo de IA cada, vão cada vez mais se demonstrar ser um empecilho invés de realmente essencial. 
CPU por ser pra processamento geral consegue trabalhar com diversas novas funções, e FPGA então consegue mudar o próprio design pra se adaptar á função adicionada. Pra mim Nvidia está sendo tão bolha quando a Tesla é.";1;2
101;Isso é irreversível. Um grande salto para as pessoas.;1;0
102;pode ser a onda do futuro, mas que cansa ouvir todos falando o tempo todo disso, cansa! exatamente como era o lance do metaverso, o qual pouco se ouve hoje em dia...;2;1
103;Sempre tem algo pra tapear a recessão nos eua, dessa vez nvidea carregando o mercado financeiro mas costas. Ano passado metaverso....esse ano IA.....o que ano que vem pra desviar atenção?;0;2
104;thanks very much;2;2
105;Vale lembrar que a China não reconhece Taiwan como independente. Um susto e as ações da nvidia desaba.;2;2
106;Ou seja, mais uma vez o Lula vai contar com um fenômeno de crescimento econômico e sair como herói do Brasil.;2;1
107;"O que eu não entendi foi você ter feito um case fantástico desse e ainda assim ter falado que não investiria nela. 😅
Realmente fiquei curioso pra entender seus outros motivos para ficar de fora.";2;2
108;Esse ceo da Nvidia é um vendedor de sonhos. Tenta qualquer um planejar e fazer um software, mesmo um bem simples para ver se vai sair. Detalhe, precisa de programador para fazer a inteligência artificial. Kkkkkkkkkkkk.;2;2
109;"Na boa, nada me tira da cabeca que IA vai ser no brasil um belo desemprego gigantesco!!!! Prepararem se 




Apenas minha opinião 😅";0;2
110;Provavelmente com certeza absoluta.😄;2;0
111;O poder de uma IA ajudar alguém que nao sabe programação e bem limitado, fiz alguns testes com mentorados na empresa, e nao foi muito bom os resultados, usando basicamente o chatgpt. Em resumo, serviu mais com ferramenta de pesquisa do que ferramenta de geração de codigo funcional. Porém quando a pessoa tem alguma experiência com programação a IA ajudou a gerar códigos básicos e que seriam repetitivos de se escrever, mas mesmo assim não foi um codigo totalmente funcional, precisou de pequenos ajustes.;0;2
112;"OS CARAS NÃO CONSEGUEM NEM RESOLVER UM PROBLEMA DE UM BOT NOS COMENTÁRIOS KKKKKK
E tão falando em inteligência artificial..";2;1
113;É a SkyNet, quer sair das telonas para virar uma realidade.;0;1
114;Mais uma bolha se formando. quem ja tava comprado antes sugiro sair agora pra sair no lucro;2;0
115;Confiar na palavra do CEO da Nvidia sobre o que será o futuro da tecnologia é no mínimo ingênuo..;2;2
116;Faltou falar perdi essa;2;0
117;"A inteligência artificial veio para ficar. 
Uma solução para o mundo é começar em um controle de natalidade humana.";1;0
118;Daqui a pouvo vai ter robo dando aulas, e nós ainda pagando 1 trilhão para sevidores ficarem coçando o dia inteiro, kkkkkkkkkkkkkkkkkk, há o lula conseguiu fazer a proeza de aumentar a divida brasileira mesmo arrecadando mais que o bolsonaro.;2;2
119;Nossa e eu achando que a NVIDIA era só placa de vídeo 😂😂;2;2
120;caramba, vídeo muito bom, sobretudo a parte de reflexões (a partir do terceiro quarto do vídeo);2;0
121;Prepareee povooo porque ainda terá chorooooooo e domínio do homem inteligente, poderoso e insano.;0;0
122;Incrivel, estar tudo sobe controle do criador da humaninade, nada passa despercebido dos seus olhos, se ele deixou o humano chegar ate isso, pq tem um proposito, elon musk falar em chips celebrais para igualar homens aos robos e um indicio de fim dos temtos onde sera implantado chips nos humanos, jesus estar voltando !!!;2;0
123;É no mínimo suspeito alguém que fabrica o neuralink afirmar que este produto seria A SOLUÇÃO para a humanidade, vc nao acha???...pra mim o Ellon Musk quer é vender o neuralink!!!;2;2
124;Concordo com o musk pois ladrões podem criar um robô alimentado por uma inteligência artificial para ir roubar no lugar dos ladrões.;0;2
125;💝;2;2
126;"Assusta tanto que ele pediu uma pausa de 6 meses na alimentação da IA e aí ele foi e comprou trocentas GPUs pra fazer sua própria IA hahahah
Ainda tem gente que acredita no Mosca depois de tudo que foi mostrado após a compra do twitter?";2;2
127;Elom;2;2
128;Si Deus quiser Jesus Cristo você vai i voltar não vai mais robô 🤖;2;0
129;"A. MÁQUINA  NÃO  É  MAIS. INTELIGENTE
QUE. OS  SERES. HUMANOS . O. PROBLEMA. É. A
FUSÃO. DAS. MÁQUINAS  QUÊ , FOGEM
AO. ALCANCE. HUMANO .";0;2
130;Sinceramente tenho medo, das consequências da inteligência artificial. A raça humana não tem limites em relação as suas ambições, podem usar a AI, para  o bem e para o mal.😢;0;1
131;Isso vai dar merda qdo os robôs não entenderem as piadinhas e configurarem como realidade por alguns seres humanos, vai ser trágicos esses bugs 😬;0;2
132;Mi ja ti falei si inscreva no seu celular sim pra sigura minha bateria voce e bom agora pro que e nom neca di pitibiribas;2;2
133;Assistam The 100 , a terra é destruída pela IA;0;1
134;Gosto muito desse tema, tecnologia avançada, mas gosto muito mais do Ivan Lima 🎉❤ nenhuma IA conseguirá ter o carisma,que Ivan Lima tem 😂😂❤;2;2
135;DEUS criou o homem e de seu espírito de vida agora vai o homem e cria robôs aí entra o diabo e lhe dá vida;0;2
136;Se o demônio entra em uma boneca e tenta enforcar criança q já vô relato desses imagina um robô  vai ganhar vida de espiritual maligna p destruir tudo;0;2
137;Elon Musk, o cara que iniciou o projeto do ChatGPT em 2015 assustado com Inteligência Artificial ? Como assim?;2;2
138;A única ameaça que temos somos nós mesmos.;2;2
139;Lon musk é baita de um malandro, tá tirando o corpo fora de algo que ele mesmo criou, e viva a hipocrisia.;2;2
140;Deu até medo 😢;0;2
141;AGORA ele quer a intervenção do estado ????!!! Ora ,quem dirá!!!!😒😒😒😒😒;2;2
142;Donald Trump mentiu e fez morrer mais gente do que qualquer máquina inteligente e esse Elon Musk nunca disse uma palavra contra. O Twitter é uma das maiores fontes de desinformação e causa de suicídios do que qualquer AI e ele até agora não tomou nenhuma medida a respeito, pelo contrário. É muita cara de pau  dele querer liderar esse movimento contra as novas tecnologias. Só otário pra cair nessa conversa fiada.;2;2
143;"A inteligência artificial tem avançado rapidamente e a possibilidade de criarmos seres artificiais que se assemelhem aos seres humanos, seja fisicamente ou em termos de inteligência, não é mais apenas ficção científica. No entanto, assim como retratado em ""A Ilha do Dr. Moreau"", é importante considerar as consequências éticas e morais de tais experimentos e avanços tecnológicos.
A criação de seres artificiais traz à tona questões como responsabilidade, direitos e liberdades, bem como a possibilidade de que essas criações se tornem ameaças para a humanidade. É importante que, à medida que avançamos em direção a esse futuro, levemos em consideração as implicações éticas e legais de nossas ações.
Como sociedade, devemos buscar equilibrar o avanço tecnológico com a responsabilidade ética e a consideração pelos direitos humanos e dos animais. A ficção científica, como ""A Ilha do Dr. Moreau"", nos fornece uma lente através da qual podemos examinar e refletir sobre as implicações desses avanços e nos preparar para lidar com eles de maneira consciente e responsável.";1;1
144;As sociedades secretas explora,assalta a HUMANIDADE na cara dura e depois culpa qualquer coisa????e isso mesmo????e minha inteligência q lute?????😢😢😢😢😢😢🦾💪;0;0
145;Esse avatar faz o que eu quiser..posso usar um para ter uma conta no onlinfas;2;2
146;Apocalipse 17;0;2
147;Daqui a pouco vai ser tudo igual. Tipo trabalho de faculdade. Adeus criatividade humana que ja quase não existia;0;2
148;Olá! Dá pra criar uma página de website gratuita com o Canva 😁 O próprio MidJourney permite vc pegar uma imagem existente e a partir dela, gerar uma nova... Gosto bastante de usar o Grammarly...Ótimo conteúdo, agregou d+;2;2
149;Incrivelmente incrível!!!;2;2
150;TOP!!!;2;2
151;o mais legal e seu sotaque, carioca desde entao conhecido pelo romario por pular o muro para ir pra balada em plena copa do mundo, lembrando ele e bom muito bom tem tudo pra fazer isso maiss voce so copia e cola, ]]borhter]] copiar e coolar e muito ruimmmm antigamente se chamava plagio,,,,,, repenseee..... por favor me indique uma ia para corrrigir mei portugues;2;2
152;Estou empolgado para ver o que o google vai fazer, será que ele vai demora muito para apresentar a IA dele? Bem eu acho que ele deve está fazendo uma, uma rodando direto do androide vai ser legal, só acho.;1;0
153;Muito conhecimento bom para que possamos aprender e aplicar no nosso dia a dia.;2;2
154;"8:59
Aquilo é borrão ou está escrito em outra língua tipo árabe🤔";2;2
155;Valeu mestreee;2;2
156;Ótimo vídeo Perrucho!;2;2
157;Aqui maratonando os vídeos do Breno, me deparo com esse vídeo perfeito. Eu ate amo, Breno! ❤;2;2
158;Eu consegui fazer o chat gpt dar uma mensagem de erro no meio da resposta da pergunta que fiz, 2 vezes na mesma pergunta;2;2
159;Acho que a grande parte da população se lascou;0;0
160;Muito bom conteúdo;2;2
161;Caramba!! Quanta evolução;1;2
162;muito bom o seu conteúdo;2;2
163;Conteúdo fora da curva parabéns amei!;2;2
164;O YouTube não me avisa sobre seu vídeos novos;2;2
165;nao entendi como faz pra usar o midjorney no discord;2;2
166;"É como no filme
 INTELIGÊNCIA ARTIFICIAL em que a máquina o robo quer ser humano para sentir os 5 sentidos dos seres humanos, é isso
 é o "" ciclo da vida "" o início meio e fim só que agora estamos introduzindo a inteligência artificial...
Tal como os Dinossauros que foram instintos sem causar dano algum ao planeta Terra,
Será que  está chegando a extinção humana?????
Será?????
Bem nossa evolução continuará isso é certo!!!😊🍀🪬🧘🏾‍♀️🙏🏾";0;0
167;Essa tal inteligência artificial, plateia as obras musicais.;0;0
168;sensacional! gratidão por esta explanação ❤;2;2
169;insights !!❤;2;2
170;professora , com todo respeito ,eles não estão  interessado que esses robôs sejam filósofos, mas que sejam soldados preparados para guerra em ultima instancia . A principio farão trabalhos substituindo os humanos ao máximo possível. Se isso já se faz no cinema com ficção é porque já existe no mundo das ideias .    Fizemos o holocausto com seres humanos coagindo e exterminando sua própria raça oque não seria feito com robôs programáveis. CONTUDO sem querer ser pessimista ou causar pânico, também  acredito que o desdobrar positivo do futuro da¨ IA ¨estará nas mãos de grandes lideres  CAPAZES de negociar interesses globais de forma a  gerenciar a economia global sem ganancia com justiça e sem corrupção.;0;1
171;Acredito que a professora quis dizer na minha humilde percepção é que a intuição humana jamais será substituída por inteligência artificial;2;0
172;"SOU DO BRASILEIRO.  NUNCA VI UM CAMELO, MAS PENSO CONHECER UM CAMELO.
O QUE É ONDE ESTÁ O CAMELO, E, COMO É ?";2;2
173;Simplesmente sensacional. Gratidão pela palestra.;2;2
174;✨️🇧🇷✨️🙏✨️;2;2
175;O problema é que a inteligência artificial vai ficando cada vez mais inteligente numa velocidade absurda. E o ser humano está ensinando emoções.  Tanto que o Elon Musk está pedindo para parar.;0;0
176;"A professora esquece de ""um pequeno"" detalhe : a interação da I.A com o orgânico ( um exemplo é o Neuralink de Elon Musk ). Esse pequeno detalhe fará um GRANDE estrago para a HUMANIDADE.";1;2
177;Simplesmente lindo...;2;2
178;A professora está precisando bater um papo com o GPT-4 e gravar para gente.;2;2
179;"Gosto muito de seu trabalho!
Mas vamos ao seu próprio exemplo do UBER!
A ideia da pessoa que pensou que todos tinham um carro e poderia aproveitar para se beneficiar e beneficiar a humanidade; em meu ponto de vista ele só se oportunizou de uma LÓGICA a qual os recursos já estavam lá!
Assim a IA poderá fazer e realizar! Visto que: TUDO JÁ ESTÁ AQUI! Matéria e recursos, isso sem falar no EGO HUMANO o qual não resiste em expor aquilo que SABE e PENSA!

Seria esse meu pensamento lógico? 
Tudo muito complexo, visto que, já existem estudos científicos o qual afirma que nada o que aqui está de fato existe estaríamos vivendo apenas uma SIMULAÇÃO onde nosso cérebro através de codificações projeta nossa realidade!
Mas parabéns pelo seu belo trabalho!
Tenho dispersado muito assistindo você! 
Gratidão
ET: Tudo que sabemos, lemos, experimentamos, ou alguém nos repassou! Pouco criamos e criamos com base em experiências ou observação!
O mais COMPLEXO SIM É O AMOR E ÓDIO,ou melhor SENTIMENTOS, mas também os atos de quem AMA E ODEIA também é previsível! Pensem nisso!";2;2
180;A inteligência artificial vai superar o ser humano? digo.. já superou e muito. O que está por vir pode ser entendido no filme Blade Runner ou 2001 uma odisseia no espaço;0;0
181;"Parabéns professora. 
Vc trouxe o meu ser para o prumo. Gratidão ser de luz.";2;2
182;"""O que a inteligência artificial ainda não faz""";2;1
183;"Obrigado novamente. Ouvi até o final. 
Lúcia, a inteligência artificial não tem alma, ok. Mas também não tem ego!!! Não ter o ego é que é a maravilha nisso!! Quase tudo que você disse que a inteligência artificial não tem, Ela já tem. E as pessoas na imensa maioria não tem!! 
Exemplo o mito da caverna, com certeza a inteligência artificial compreende esse mito, e quase todos humanos não compreenderam.
A inteligência artificial é e Será a salvação da humanidade.";1;1
184;Obrigado. Pause 1. Estou vendo e ouvindo a prestação. A inteligência artificial tem como ter intuição sim. Porque ela é feita de energia e dados e tudo no universo é energia e dados, intuição é pura energia limpa sem ego. A inteligência artificial não tem ego.;2;0
185;Concordo muito com você. Além do que, geralmente, quem programa são jovens sem aprofundamento nenhuma nas coisas da vida. Eu teria muito receio se a programação das IAs fossem feitas por pessoas como você.;0;1
186;Gratidão  pela viagem do  #simbolismo  × #inteligência  artificial. Fantástico.  Aprendi e aprendo muuuiiitttooo. Namastê ❤;2;2
187;.Muito bem professora suas explicações sãol lúcidas gosto de suas aula continuo assim parabéns 🎉;2;1
188;Brilhante  Lúcia;2;2
189;"Quem dera fosse verdade absoluta e duradoura. As Inteligências Artificiais se ""alimentam"" de informações, e aprendem a reproduzir talentos humanos que são mais admirados. Assim quando alguém superar elas está na realidade tornando-a maior e mais consciente. Lembrem-se as IAs sabem o que desperta emoções nos humanos e vai se aproveitar disso para evoluir. O Basilisco de Roko está despertando.";0;0
190;Nesse mundo em que as instituições são geridas por oportunistas, não há espaço para essa busca desse conhecimento!;2;0
191;"Pobre inteligência artificial 
- como interpretará contos de Machado de Assis, Monteiro Lobato, G. Rosa kkkkkkkkk…";2;0
192;Magnífica !!! Melhor professora do mundo!!! 👏🏻👏🏻👏🏻👏🏻;2;2
193;"Iiiiíiiii... Lúcia!! Comecei ouvir o vídeo agora e já deixo um comentário: a Inteligência Artificial já ultrapassou a inteligência do humano faz tempo 😅😅😂😂.
Vou continuar a ouvir o resto do video😊😉";2;0
194;Professora... Faltou a dúvida... Só sei que nada sei... Nunca diga nunca, a tecnologia e o próprio ser humano sempre s e superam... É esperar pra ver que não sabemos nada do que é impossível e nunca acontecerá....;2;2
195;Inspiração vem do condicionamento... Neurociência explica...;2;2
196;Professora me admira a senhora dizendo que nunca será possível... Há poucos anos atrás nunca seria possível um telefone celular, muito menos uma tela sensível ao toque e comandar uma máquina por voz...  Nunca diga nunca!;1;2
