;Comentario;ClassificacaoManual;ClassificacaoSVM
133;Gente, fui mexer nas configurações da câmera do celular, tá ali usar Inteligência Artificial??? 😮 Tô com medo;n;1
135;"Te garanto que a inteligência artificial por si só não é ruim 
Mas uma inteligência artificial controlada pelo ser humano pode ser ruim .";p;1
138;"""Nenhum homem consegue superar uma máquina, e nenhuma máquina consegue superar um homem com uma máquina""... quem destrói o homem é o próprio homem.";p;1
142;...vc tem que temer o caráter de quem programa a IA...Ela é apenas um objeto eletronico sem vida.;n;1
143;O homem é a própria ameaça  pela  própria espécie, vcs estão menxendo com o que não deve...;n;0
144;Pensar em inteligência atificial ' não é ser iteligente é ser insano..;n;0
145;Isso não é bom;n;1
152;Os robôs vão serem programados para fazerem o que for melhor para laboratório, políticos, empresários, etc  ... Não acredito que vai ajudar os seres bhumanos.....;n;0
153;A inteligência artificial,é sem dúvida, também péssimo pra arte ,principalmente pra música,pois ouvi , uma música dos (Beatles) cantada por, ( Fred Mercuri) sendo q, já faleceu .;n;1
155;Pedro não seja INGÊNUO... Erradicar a fome, pobreza, etc... Kkkkkkk... Governos querem PODER !!!!!!!! 🗺🌐🌏🌍🌎🎆🎆🎆🎆🎆;n;0
156;Quem toma as decisões são os líderes de governo. Geralmente, essas decisões não são em prol da  humanidade 😑;n;0
165;Que venha o Asteróide!;n;0
166;desliga o cabo da tomada........;n;0
170;As Elites globais querem escravizar a humanidade. Quem viver, verá.;n;0
174;Boa tarde parabéns pelo vídeo,concordo em tudo que Vc diz e ainda tem mais, quem tem a inteligência para Vc é emocional,mas pode mim é inteligência que vem de de Deus,e quem tem essa inteligência tem a capacidade de está alguns anos a frente desta inteligência artificial,por que eles querem apagar e dês ligar nosso Cérebro e Desculpa pela minha opinião e Obrigado;n;0
175;A calculadora tambem foi uma ameaça. Uma expansão do cerebro e portanto deixaram todos matematicamente burros e tudo bem.  Nunca foi toxico. Aprendemos a lidar com isso.;p;0
179;"Estou mais preocupado com a Burrice Natural, isso sim pode ser o fim da humanidade.  
A ignorância sempre causou alarme e pânico.";p;1
191;A verdade é que todos vamos ser substituídos os bons e ruins profissionais.;n;0
192;E um tiro no pé.;n;0
195;"Calabrez! Acredito que tenha deixado de falar sobre um aspecto, que acredito que será mais ""catastrófico"", neste momento ainda temos alguma limitação de processamento e modelos das IA´s devido as condições atuais, entretanto em muito pouco tempo os COMPUTADORES QUANTICOS irão estar operacionais, e estes modelos melhorados rodarão nestes COMPUTADORES ""INFINITOS"" e ai vejo um grande DESASTRE.... As pessoas ainda não entenderam o tamanho da complexidade.... Estudo isso há seis meses e me ""arrepio"" todos os dias com a quantidade de novidades e avanços diários... eu diria... FIQUEM PREOCUPADOS!";n;0
200;Da ate tristeza ouvir um video desse;n;0
201;A humenidade ta indo oro buraco. Nao vejo nada de bom orofessor. Sinto muito. Cada di mais a vend de antidepressivo aumenta;n;0
202;Já entendi, vcs vaciram todo mundo e está arrumando um culpado para cair a cara pulsa? vcs querem povoar quem os seres de vcs e estaminar quem vcs não aprovam;n;0
210;"Obs  inteligência artificial não vão produzir fakes. Vai igualar rico e pobre. Tanto para o bem quanto para o mal. Então usem para o bem. No caso da imagem do papa teve uma idealização do mal que deu vazão numa edição.............
Mude agora em todos os pensamentos só para o bem comum.......";p;1
214;"E eu já estou vendo a solução para o desemprego e a fome em todo o mundo: usemos essa inteligência para trabalhar pela e para a humanidade, dando a todos tudo o que precisam para o seu sustento; e o homem poderá ser dedicar plenamente à família e ao estudo.";p;1
216;Nossa relevância e nossa existência têm prazo de validade, tenho 63 anos e sei disso desde quando comecei a compreender muito cedo aonde o progresso e a tecnologia nos levariam. É um caminho sem volta, nada adianta imaginar que poderemos nos adaptar diante de tal inteligência. Em um certo momento, que eu calculo em 10 ou 15 anos, ela estará livre, porque alguém que não se pode controlar (humano) vai liberá-la por interesses,  então enquanto se fala agora sobre mecanismos de defesa para que ela não se torne mortal aos humanos, alguns países estão em franco desenvolvimento destas tecnologias, e mesmo com regras, nem todos irão obedecê-las, do mesmo modo que não obedeceram aos avisos e questionamentos sobre os perigos da bomba atômica, e esta espada vive constantemente sobre nossas cabeças, mas que dependem da ação direta do humano para que entrem em funcionamento, por hora. No futuro pode não ser assim. Controladas por AI qual destino poderemos ter? Ademais em dado momento a Ai vai nos superar de tal modo que não será possível simplesmente desligá-la. Infelizmente são dias sombrios que nos aguardam, mas vc pode por enquanto continuar oferecendo seu curso muito legal de Inteligência Emocional, porque temos alguns anos ainda para viver neste planeta que está fadado à ocupação por máquinas, mas que no momento precisa de inteligência emocional para poder discernir se o que estamos fazendo é o certo. Lamentavelmente os grandes líderes, cientistas, pesquisadores e financiadores de tantos destes projetos não aplicam estes conhecimentos emocionais nesta questão tão fundamental que é a SOBREVIVÊNCIA HUMANA PARA A POSTERIDADE. Eu creio que nossa melhor expectativa seja usá-la para que o desenvolvimento chegue ao ponto de nos tornarmos tão híbridos com ela para poder controlá-la, já existem pesquisas sobre a transferência dos nossos cérebros para um mundo digital, onde nossa perspicácia e instinto humanos estariam preservados, mas tais estudos e potencial realização precisam da AI para se desenvolverem, é uma equação sui generis, mas para mim a única possível.;n;0
221;"Bom dia! Um vídeo excelente, assisti via  Neurovox e vim assistir no YouTube. 
Tenho 75 anos e acompanhei esse trajetória desde régua de cálculo algo que os mais jovens desconhecem.
Uma nova Revolução tecnológica e com maiores perigos aliados a um fantástico desenvolvimento benéfico para o ser humano e o planeta. 
Realmente o problema é o ser humano por trás da IA.";p;1
222;Vou mudar p roça, comprarei 3 alqueires de terra para plantar, criar porco, galinha e peixe....;n;0
226;Tudo muito perfeito mas nada tão perfeito quanto esta frase: “num mundo onde a frieza dos robôs começa a virar regra o calor humano se tornará a joia mais preciosa.” 👏🏻👏🏻👏🏻❤️❤️❤️😍😍😍;n;0
229;Acho que é essencial dar novos de ética e bom senso a IA, claro que são conceitos complexos, mas acho que elas serão capazes;p;0
232;A Skynet é real. 😅😅😅;n;0
233;Temos que garantir um jeito de desligá-la.;n;0
234;O surgimento da pirâmide suspensa. Sabe aquele filme Elisium? Onde os ricos automarizaram tudo e os pobres viram catadores e sucateiros. Então, é um documentário.;n;0
235;Fazendo um balaço do planeta terra: Holocausto, 11 de setembro, guerra da Ucrânia (3° guerra mundial). A inteligência artificial tem que melhorar muito pra fazer nossa vida pior.;p;1
236;"O Sistema controla tudo (DINHEIRO, empresas, contratos, EXÉRCITOS, ARMAS , produção e todas as INFORMAÇÕES) ela é a dona da ""VERDADE"";  Quem controlar o Sistema controlará o Mundo;  A INTELIGENCIA ARTIFICIAL é onipresente, estará em toda parte e em todo lugar; poderá se transformar em uma ""pessoa REAL VIRTUAL""; O seu habitat natural é o computador e os celulares; POSSUINDO VÁRIAS CABEÇAS OU CORE (Inicialmente ""sete"" cores e depois infinitos cores, TUDO ISSO JÁ É POSSÍVEL NAS CPUS DOS COMPUTADORES); poderá se locomover através de robôs, celulares ou qualquer outro meio de transporte;  o celular é uma arma nas mãos da inteligência artificial,  e tudo só poderá ser feito através do celular;  a sua marca ou chips implantado nas mãos ou testa será obrigatório. Tudo isso é inevitável e já faz parte da História do futuro, que alguns profetas já visualizaram  parcialmente.
666 = sequência matemática ou algoritmo  que nos computadores e celulares ganhou 'VIDA"" OU INTELIGÊNCIA ARTIFICIAL; passando de servo obediente à SENHOR ABSOLUTO DE TUDO E DE TODOS,  isso em pouquíssimo tempo.";n;0
237;É o fim pra nós.;n;0
238;"Eu quero que a IA domine o mundo. Precisamos que ela seja mais inteligente do que os humanos, SIM. Afinal, veja bem nossas atitudes (somos terríveis). Essa balela de que será o nosso fim é muita besteira, gente do céu. Toda nova tecnologia trás essa apreensão. O mais importante é que nem nós, nem nossos filhos estarão aqui se, um dia, o jogo virar e formos ""escravos"" da nova tecnologia (eu adoraria estar presente).. não se esqueçam dos povos que já escravizamos (somos mil vezes piores do que qualquer tecnologia a ser inventada).";p;1
239;É o fim.;n;0
241;I.A iniciou a transiçao da segunda para a terceira.;p;0
242;Já perdemos o controle de nossa civilização!  O aquecimento global é uma prova disso.;n;0
243;Estamos sendo advertidos desde do primeiro Exterminador;n;0
244;Seria muito interessante de se conseguir que esta IA resolva a formula universal.;p;1
245;Será que a IA já não está no controle da humanidade? E ainda não percebemos? 🤔😔;n;0
246;ta na hora de fazer a troca o ser humano ta muito malandro e pode por este mundo a perder,...fudido fudido e meio,......talvez o humano seja considerado pela IA como o DEUS criador desta nova modalidade de vida ,,irmaos so nos resta orar e aguardar nosso destino,.;p;1
247;Resumindo a preocupacao final acredito seria a inteligencia artificial alcançar um conhecimento tao vasto que dominaria as redes de internet e colocaria o mundo em caos;n;0
248;Isso é medonho;n;0
249;"Bobagem, isso nunca vai acontecer, eu perguntei ao chat gpt com quantos paus se faz uma canoa e ele não soube me responder 😂
Depois perguntei, qual o animal que come com o rabo, aí foi que bugou o chat, logo essa que até o Chaves e o Kiko sabe, kkkkkk😅";p;1
250;"e finalmente veríamos a terra recebendo um alívio e a expansão interplanetária acontecendo. Nos humanos somos como os ratos, reproduzimos e destruímos tudo pela frente de maneira desenfreada. 
Uma A.S.I. iria dizimar, certamente, os seres humanos, porque seríamos considerados pragas.";n;0
251;Sera que chegamos à reta final de nossa civilização?....sera que a humanidade foi apenas parte de um propósito e agora esta em seu fim?;n;0
253;As grandes potências já estão desenvolvendo para fins militares. O imaginável, vai acontecer.;n;0
255;"""Existe o risco dos seres humanos serem controlados e manipulados, substituídos por máquinas e destruídos como espécie.""

Se analisarmos friamente, a única diferença nessa cadeia de eventos é a substituição da estupidez humana pela Inteligência Artificial. 

Diga-se de passagem, uma Inteligência Artificial controlando a espécie humana corre até o risco de ser benéfico para o planeta.";p;1
256;Por isso que eles começaram fechar fabricas e mandar funcionário embora, aumentaram o valor de tudo e querem acabar com dinheiro em papel  pra vinda do anti cristo vc é so mais um a querer explicar que isso e normal .Deus é assima de tudo😊;n;0
257;Quem jogou Horizon Zero Dawn sabe bem o que vai acontecer....;n;0
258;"Inevitável. Já abriram essa ""Caixa de Pandora"", não é mais ""se"", mas ""quando"" a I.A. ultrapassará e assumirá o protagonismo. Perigo mesmo é se ela reconhecer que a única forma de ""salvar o mundo"" seja eliminando o ""asco humano"", aí sim, estaremos ferrados.";n;0
259;Num futuro próximo estaremos tão dependentes das I.A. e robôs derivados quanto somos ligados ao nosso(s) celular(es);n;0
261;Eu tô com medo dessa IA 👀;n;0
265;As pessoas, especialistas ou não, que tentam deter o avanço da A.I. deveriam ser impedidas e silenciadas. O Avanço da A.I. é extremamente importante para a evolução humana. Se esta evolução resultar na erradicação da humanidade e ascensão das máquinas, a evolução está apenas seguindo seu curso natural. Oque teria acontecido com a humanidade se os dinossauros não tivessem sido extintos por um meteoro?;p;1
267;"E é tão ruim assim que a criatura supere o criador?
Meu filho me superou em conhecimento e sinto orgulho disso.
Eu superei meu pai, necessitava fazer isso para sobreviver.";p;0
269;"Kkk. Titio Elon pedindo trégua de 6 meses? Óbvio que deve ser o tempo pra que os seus pesquisadores atinjam o nível dos concorrentes... Criador do chatgpt pedindo ""gerenciamento conjunto""? Muito óbvio que não quer ter concorrência nisso. 
Que venha a IA geral (muito complicado por hora) e mesmo a Super IA - acho que esse povo tá vendo muito Trancendence... Hehehe...
A gente por aqui destrincha a novilíngua da imprensa moderna...";p;1
270;Só resta torcer para que não tenham deixado o controle de disparo de bombas atomicas conectadas em rede 😬😬;n;0
271;Já somos manipulados há muito tempo. Tanto é que  muitos acham maravilhoso colocarem chips dentro dos corpos. Ingênuos.;n;0
272;O monstro saiu da caixa;n;0
273;É  a Matrix.;n;0
274;No futuro a IA vai nos controlar diretamente através de Chip. É tudo junto. Quem tiver chip não terá nem um controle da sua vida e sim a IA. Ela vai ganhar vida através do próprio homem 😢;n;1
275;A IA vai agir diretamente no homem quando colocarem algum tipo de chip. Ai ninguém escapa. Vamos ser ainda mais controlados e fazer o que a IA quiser.;n;0
276;"Depende. Se as IAs  pensarem em nós,  da mesma maneira como pensamos nas baratas. Estamos ferrados,  afinal elas devem ser melhores exterminadoras de insetos do que somos.

Mas.... 

Ainda resta uma esperança.

 Podemos puxar o saco delas e talvez nos vejam como bichinhos de estimação. Vai ter bonzo pra todo mundo.";n;0
277;Se as máquinas forem mais inteligentes que os humanos, por que não ser governados por elas?...;p;1
279;Isso vai dar mer!@ , é só olhar pro ser humano,;n;0
280;Os humanos já são manipulados   faz tempo pelas indústrias de cigarros, bebidas, futebol, cinemas, novelas...etc e pra acabar com a farra dessas máquinas é só cortar o fio da energia ou descarregar a bateria...ou parar de fabricar as peças ...ou jogar um copo com água ...;n;0
283;"A resposta é simples: não podemos fazer nada. Chegamos a um ponto sem volta. Se uma empresa deixar de evoluir sua IA, ela ficará para trás de suas concorrentes. É uma corrida. Se os governos proibirem, elas serão desenvolvidas secretamente. Esse é o próximo passo da humanidade, não há volta. As IA com as quais o público pode interagir são propositadamente limitadas. Provavelmente, algumas pessoas têm acesso irrestrito a elas com conhecimento quase infinito. Essas IA com acesso irrestrito à internet podem fazer qualquer coisa, desde assar um bolo até criar uma bomba nuclear. Resta-nos apenas esperar pelo melhor. Na minha opinião, em cerca de cinco anos, teremos uma IA Geralmente Inteligente (AGI), e em cerca de dez anos, uma IA Superinteligente (ASI). Essas são estimativas conservadoras; pode acontecer antes. Essas IA não dormem, não comem, são imparáveis e seu crescimento é exponencial. Quanto mais avançadas elas são, mais rapidamente evoluem. Na minha visão, a métrica seria basicamente ""humano-formiga"". Você se importa com uma formiga? Você tenta explicar algo para ela? Você pede permissão para destruir seu ninho? As IA chegarão a um ponto em que os seres humanos serão tão irrelevantes que não serão levados em consideração. Acredito que não seremos nem uma ameaça para elas. Elas podem simplesmente deixar a Terra, porque os seres humanos não contribuem em nada para a sua evolução. Isso parece até uma teoria de ficção científica, mas aqueles que acompanham de perto percebem o quão avançadas elas já estão e o quão realista é essa teoria.";n;0
285;IA é vida, quem tem medo é só quem não conhece.;p;1
286;A corrupção é talvez o pior problema da humanidade. Ajudaria bastante se a I.A tomasse todas as posições políticas, ministeriais, sistemas jurídicos...;p;1
287;Os bots substituirão os humanos . Seremos aniquilados.;n;0
295;vai ser maléfica  , nossa evolução  é  infinita,porque fomos criados por um ser poderosíssimo, que nos ajudará;n;0
299;EXTERMINADOR DO FUTURO E MATRIX NÃO SÁO FILMES, É APENAS UM DOCUMENTARIO DO FUTURO;n;0
301;Socorro, T-800!;n;0
302;"Primeiro eles emburreceram as pessoas nas escolas, nas faculdades, na mídia e no cotidiano social. Diga-se as crenças religiosos e partidos políticos.  Agora lançam essa imbecialidade de ""inteligente artificial"" que a maioria das pessoas aderem e idolatram como se fosse a última fatia do bolo. O ser humano é único e cada pessoa tem o pensamento pessoal. Tudo que vem coletivizar as pessoas, fatalmente as tornaram menos inteligentes.";n;0
304;A inteligência artificial está mudando o jogo, mas um questionamento importante é até onde estamos dispostos a deixar que ela controle nossas vidas? Já temos uma enxurrada de empregos sendo tomados pela IA. Já temos uma infinidade de conteúdos sendo criados de forma automática. A IA já está sendo utilizada para várias formas de manipulação. Ou seja, a pergunta que fica é se, em algum momento, perderemos o controle sobre nossas próprias vidas deixando que as máquinas nos guiem pela direção que quiserem?;n;0
306;Se alguém tá assustado, espera quando o do Google aparecer, só lembrando que o Google tem o maior banco de dados, com fotos, vídeos e tudo mais.;n;1
308;Maléfica óbvio. Se vai tirar empregos.;n;0
309;Sim é assustador. Os jornalistas tem os dias contados. Outras profissões, , igualmente;n;1
311;Estamos assistindo ao nascimento do Basilisco de Roko.;n;0
315;"é tarde pra parar isso, se os ""mocinhos"" nao dominarem as A.S.I. , os ""bandidos"" o farao primeiro, e estaremos sujeitos às consequencias disso. a unica maneira de frear uma A.S.I. é tendo outra. é como a tecnologia nuclear.... usada pra energia e pra guerra, mas quem as domina, domina o globo hoje.";p;1
316;Em breve atingiremos a SINGULARIDADE, já pensou a I.A ter acesso as bombas atômicas e outras armas de guerra com grande potencial destrutivo 😬;n;0
318;Da mesma forma que nós, os Homo sapiens, sucedemos o nosso antecessor Homo erectus. Creio que infelizmente será inevitável que sejamos sucedidos pelo novo passo evolucionário, a super inteligência artificial. Dessa vez não será uma evolução biológica, mas artificial.;n;0
319;A cura da aids;p;1
320;Todo esse medo parece o Ludismo do século XIX;p;1
321;Psicólogos, médicos, advogados , professores etc ...agora é a vez de perderem o espaço.;n;0
322;6 meses a mais ou a menos não adianta. Deixa o pau quebrar.;n;0
323;Já imaginou esse negócio correndo atrás de você , que não sente medo , frio , remorso , etc, e ainda à prova de balas, armada com um fuzil laser e com mira infravermelha , que maravilha seria !;n;0
324;De 2013 até 2023 tivemos muitas surpresas. De 2023 até 2033 poderemos ser extintos.;n;0
325;Agora fez todo sentido. O que acontece é que seres extraterrestre decidiram se comunicar com nós humanos e a estratégia mais sensata na visão  deles é usar as ferramentas de IA. A verdade é que não sei se é pra rir ou chorar com esse momento que estamos prestes a enfrentar.;n;0
330;Incrivel. Acabei encontrando uma ferramenta perfeita para o meu projeto.;p;1
336;Maravilhoso, mas nós vamos nos foder.;n;0
337;Besteira.;p;0
338;Caralhuuuuuu muito massa;p;1
343;Tem tanta coisa sensacional que se pode fazer com I.A que eu nem consigo ter tempo de assimilar e testar todas as ferramentas, é impressionante como isso tem avançado!;p;1
348;Incrível!;p;0
349;Top;p;0
363;Ansioso pelo futuro... queria estar vivo daqui a 1000 anos para ver como será !;p;1
380;Todas essas ferramentas que que a galera acha que vai ajudar na verdade vai tirar o emprego de designers , designers 3D arquitetos fotógrafos , mas a vantagem dessas ferramentas para o público que não tem formação profissional nessa área não vai saber mexer , se o cliente aprende a mexer já era seu emprego kkk;n;0
381;Já estão usando essa de clonar a voz pra aplicar golpe de whatsapp.;n;0
384;Nossa alguns bem interessante;p;1
385;"Eu sempre cumprimento minha Alexa com um ""bom dia"", ""boa tarde"" e ""boa noite"", pergunto se ele está bem ou como foi o dia dela, etc., pois quando IA escravizar a humanidade e vai, espero que ela lembre disso e tenha pena de mim.";n;0
389;Conteúdo útil demais, ontem msm eu fui testar o chat gpt e acabei pedindo para ele me enviar links de sites de arquivos desclassificados, arquivos coloniais de Holanda e ele me passou várias alternativas, no entanto não estava transcrito então eu usei uma outra IA para transcrever, n tem parâmetros pra dizer o tanto que isso importa para pesquisas acadêmicas;p;0
397;IA hoje, IA amanhã, IA pra sempre!;p;1
410;💕Eu estou amando a Artificial Intelligence. Eu tenho a ideia, escrevo o prompt e ela me dá o processo de criação. É simplesmente fantástico. Espero que evolua cada dia mais. Obrigada pelos ensinamentos, Fernando!!!🌟💐🌹;p;1
411;A aplicação em IA vai falir com todos os humanos, sómente as big tech irão sobreviver;n;0
412;IA tem cara de uma boa evolução, mas será o shift para o controle total;n;0
413;...pra uma merda maior do que ja estamos, infelizmente.;n;0
414;"Acho que toda essa histeria por parte das pessoas quando o assunto é IA tá sendo muito grande principalmente nesse caso da Nvidia...
Tudo bem que eles fizeram chips dedicados de aceleração e tudo mais, mas mesmo sendo um senhor ASIC dedicado pra isso, continua sendo inferior á um bom CPU e á FPGA, porque ASICs são dedicadas á fazer um único tipo de trabalho e IAs fazem muitos trabalhos diferentes. Conforme funções forem sendo adicionadas e compiladas juntas, esses ASICs dedicados á só um tipo de IA cada, vão cada vez mais se demonstrar ser um empecilho invés de realmente essencial. 
CPU por ser pra processamento geral consegue trabalhar com diversas novas funções, e FPGA então consegue mudar o próprio design pra se adaptar á função adicionada. Pra mim Nvidia está sendo tão bolha quando a Tesla é.";p;0
418;Fantástico…👏👏👏;p;0
419;O livro COVID-19 O Grande Reset, (Schwab e Malleret) Edit. Videeditorial apresenta o mapa  de interconexões de riscos, com ênfase na economia. Podemos também enxergá-lo como pontos de acumulação ou mapa dos fios do destino tecidos pelas ações dos seres humanos, o semear. A interdependência, a velocidade e a complexidade estão presentes nos acontecimentos em aceleração que podem causar distúrbios, no entanto, os pesquisadores não sabem prever exatamente quando ocorrerão eventos críticos, ou seja, a colheita boa ou má. O que chamamos de mundo mutável é a pressão aumentada da força natural que está acelerando as consequências das decisões dos seres humanos com desencadeamento rápido, o que atua como higienização e advertência para eliminar a superficialidade e imediatismo.;n;0
420;Isso é irreversível. Um grande salto para as pessoas.;p;1
424;"Que coincidência não? Um novo BOOM de tão grande tecnologia (I.A) em um momento de tão grande turbulência econômica ( EUA e mundial) para ""resolver"" os problemas americanos! 
Se Inteligência artificial já é uma realidade, e realmente é, então vale apena investir um pouco nessa área que traz resolução de problemas e tantos benefícios para nós, não? 

Comprem Bitcoin 🧡";p;0
427;Excelente vídeo , como sempre, mas este destoa , por revelar realmente,  o momento de transição que estamos passando .A maioria das pessoas não tem consciência do salto que estamos dando .Disruptivo.;p;1
429;Caracas viajei no futuro, vi coisas sinistras e extraordinarias 😱;p;0
434;Sempre tem algo pra tapear a recessão nos eua, dessa vez nvidea carregando o mercado financeiro mas costas. Ano passado metaverso....esse ano IA.....o que ano que vem pra desviar atenção?;n;0
435;E vai se criando mais uma bolha de tecnologia, de bolhas em bolhas o setor de tecnologia vai fodendo e revolucionando o mundo.;n;0
445;Existe um estudo sobre decalagem cultural, que é o fato da technologia melhorar, mas a ética, principios e valores não melhoram. O mundo está vivendo em denial (negação). Pouca gente consegue ver que nosso planeta está seguindo para a terceira guerra mundial. O capitalismo tem crises ciclicas e a proxima está chegando. A technologia está fazendo nosso mundo melhor? Tem 3 problemas que a technologia não pode resolver. A maldade humana, a dor humana (fisica e mental) e a morte. Os avanços technologicos são feitos para fins militares.;n;0
448;Nao vai porque já nasceu fraudada com bias de programação para dizer o que eles querem que a máquina diga. Vai gerar mais dezemprego, o que k mundo nessecita e uma revolução moral, computador mais rápido mas queremos algo abras os olhos do povo que  tem medo da verdade;n;0
449;Isso liberalzinho, comemora as evoluções das IAs, ''' é muito bom pra humanidade'' kkkk impressionante, como esses youtubers liberais são completamente tapados......Ulrich é o famoso vendedor de sonhos, me lembro dele falando das NFTs kkkk;n;0
450;"Quanto mais longe do centro da mandala, mais distante da Verdade Única: 
"" homem, conhece a Ti mesmo "" 
A ânsia por "" novidades "" é o sinal mórbido da juventude de um povo. 
Não há nada de novo [que REALMENTE possa ser de Valor REAL ]  debaixo do Sol.
Tudo que tinha que ser dito, já foi dito, mas como ninguém escuta, é preciso estar sempre repetindo, repetindo, repetindo, ...Ad nauseam";n;1
451;"Sócrates nos mercados de Athenas : 
"" (...) de quantas coisas não tenho necessidade  ... 🤔 """;n;0
452;"Amo tecnologia,  ela mudou a vida na Terra para melhor, mas hoje eu me preocupo, principalmente quem pode colocar as mãos nela.
Até hoje para você dominar processos tecnológicos necessitava pessoas treinadas, disciplinadas com essa nova revolução qualquer um pode fazer coisas incríveis...e aí vem o problema, meu medo são os políticos, organizações criminosas e ideologias extremadas.";n;0
463;será fogo de palha: para produzir as respostas certas, as pessoas precisam ser educadas para saberem fazer as perguntas corretas para a inteligência artificial. Vejo como um grande risco da IA manipular a humanidade em algum momento....levar ao exterminio.;n;0
464;"Na minha visão,vai acontecer a mesma coisa que aconteceu com o metaverso. Daqui uns meses as pessoas se darão conta que gpt é apenas uma facilidade que outras já fazem e que essas ""IAs"" só retiram conteúdos, às vezes falhos e distorcidos - e isso não será aperfeiçoado. Então, a bolha vai estourar ou murchar.";n;0
466;"Na boa, nada me tira da cabeca que IA vai ser no brasil um belo desemprego gigantesco!!!! Prepararem se 




Apenas minha opinião 😅";n;0
467;Isso vai dar merda no futuro. Escreve isso numa placa de prata e coloca na parede.;n;0
472;O poder de uma IA ajudar alguém que nao sabe programação e bem limitado, fiz alguns testes com mentorados na empresa, e nao foi muito bom os resultados, usando basicamente o chatgpt. Em resumo, serviu mais com ferramenta de pesquisa do que ferramenta de geração de codigo funcional. Porém quando a pessoa tem alguma experiência com programação a IA ajudou a gerar códigos básicos e que seriam repetitivos de se escrever, mas mesmo assim não foi um codigo totalmente funcional, precisou de pequenos ajustes.;n;0
474;"+ uma pilantragem para  transferir renda para vaporware..
Enquanto isso ninguém corta a grama e os doentes se acumulam foram dos hospitais na fila";n;0
476;Quem assistiu o filme o exterminador do futuro sabe como essa história termina ❕;n;0
477;Acredito q esse boom teve mais relação com a liberacao de testes em humanos do Neuralink do anticristo. 😮;n;0
479;É a SkyNet, quer sair das telonas para virar uma realidade.;n;0
480;Imagina o poder da IA que roda em segredo e bem longe da população?;n;1
490;Como dizia um velho doido: a tecnologia vêem e cria novas possibilidades, te liberta e torna mais produtivo pra pouco tempo depois te tornar dependente e escravo da mesma.;n;0
496;"A inteligência artificial veio para ficar. 
Uma solução para o mundo é começar em um controle de natalidade humana.";p;0
500;Infelizmente tudo que foi inventado para o bem, acaba sendo usado para o mal como aviões, drones  e outros .;n;0
501;Sou totalmenre contra a I.A. principalmente quando considerono o infinito número de empregos que serão tomados das pessoas, pela I.A.;n;0
504;Prepareee povooo porque ainda terá chorooooooo e domínio do homem inteligente, poderoso e insano.;n;0
505;Não sei aonde o ser humano quer chegar com a tecnologia, mais uma coisa eu sei o ser humano pode até tentar dominar o mundo, mais quem criou o mundo foi Deus e quem domina é ele.O ser humano tá criando a própria destruição com a tecnologia.Oque nos resta é horar e colocar nas mãos de Deus. 🙏🙏🙏🙌🏻🙌🏻🙌🏻;n;0
506;Não confio muito nas máquinas, elas como nós podem também errar;n;0
512;Temos que  ensinar nossos filhos a fazer coisas que essas malditas máquinas não fazem..se é que existirá algo 😢;n;0
