;Comentario;ClassificacaoManual;ClassificacaoSVM
16;Tudo muito perfeito mas nada tão perfeito quanto esta frase: “num mundo onde a frieza dos robôs começa a virar regra o calor humano se tornará a joia mais preciosa.” 👏🏻👏🏻👏🏻❤️❤️❤️😍😍😍;0;0
17;Acho que é essencial dar novos de ética e bom senso a IA, claro que são conceitos complexos, mas acho que elas serão capazes;1;0
18;A Skynet é real. 😅😅😅;0;0
19;Fazendo um balaço do planeta terra: Holocausto, 11 de setembro, guerra da Ucrânia (3° guerra mundial). A inteligência artificial tem que melhorar muito pra fazer nossa vida pior.;1;1
20;"Eu quero que a IA domine o mundo. Precisamos que ela seja mais inteligente do que os humanos, SIM. Afinal, veja bem nossas atitudes (somos terríveis). Essa balela de que será o nosso fim é muita besteira, gente do céu. Toda nova tecnologia trás essa apreensão. O mais importante é que nem nós, nem nossos filhos estarão aqui se, um dia, o jogo virar e formos ""escravos"" da nova tecnologia (eu adoraria estar presente).. não se esqueçam dos povos que já escravizamos (somos mil vezes piores do que qualquer tecnologia a ser inventada).";1;1
21;É o fim.;0;0
22;I.A iniciou a transiçao da segunda para a terceira.;1;0
23;Seria muito interessante de se conseguir que esta IA resolva a formula universal.;1;1
24;Sera que chegamos à reta final de nossa civilização?....sera que a humanidade foi apenas parte de um propósito e agora esta em seu fim?;0;0
25;Num futuro próximo estaremos tão dependentes das I.A. e robôs derivados quanto somos ligados ao nosso(s) celular(es);0;0
26;"E é tão ruim assim que a criatura supere o criador?
Meu filho me superou em conhecimento e sinto orgulho disso.
Eu superei meu pai, necessitava fazer isso para sobreviver.";1;0
27;É  a Matrix.;0;0
28;No futuro a IA vai nos controlar diretamente através de Chip. É tudo junto. Quem tiver chip não terá nem um controle da sua vida e sim a IA. Ela vai ganhar vida através do próprio homem 😢;0;1
29;A corrupção é talvez o pior problema da humanidade. Ajudaria bastante se a I.A tomasse todas as posições políticas, ministeriais, sistemas jurídicos...;1;1
30;Se alguém tá assustado, espera quando o do Google aparecer, só lembrando que o Google tem o maior banco de dados, com fotos, vídeos e tudo mais.;0;1
31;Maléfica óbvio. Se vai tirar empregos.;0;0
32;Sim é assustador. Os jornalistas tem os dias contados. Outras profissões, , igualmente;0;1
33;Incrível!;1;0
34;Conteúdo útil demais, ontem msm eu fui testar o chat gpt e acabei pedindo para ele me enviar links de sites de arquivos desclassificados, arquivos coloniais de Holanda e ele me passou várias alternativas, no entanto não estava transcrito então eu usei uma outra IA para transcrever, n tem parâmetros pra dizer o tanto que isso importa para pesquisas acadêmicas;1;0
35;IA hoje, IA amanhã, IA pra sempre!;1;1
36;💕Eu estou amando a Artificial Intelligence. Eu tenho a ideia, escrevo o prompt e ela me dá o processo de criação. É simplesmente fantástico. Espero que evolua cada dia mais. Obrigada pelos ensinamentos, Fernando!!!🌟💐🌹;1;1
37;Isso é irreversível. Um grande salto para as pessoas.;1;1
38;"Que coincidência não? Um novo BOOM de tão grande tecnologia (I.A) em um momento de tão grande turbulência econômica ( EUA e mundial) para ""resolver"" os problemas americanos! 
Se Inteligência artificial já é uma realidade, e realmente é, então vale apena investir um pouco nessa área que traz resolução de problemas e tantos benefícios para nós, não? 

Comprem Bitcoin 🧡";1;0
39;Caracas viajei no futuro, vi coisas sinistras e extraordinarias 😱;1;0
40;E vai se criando mais uma bolha de tecnologia, de bolhas em bolhas o setor de tecnologia vai fodendo e revolucionando o mundo.;0;0
41;"Quanto mais longe do centro da mandala, mais distante da Verdade Única: 
"" homem, conhece a Ti mesmo "" 
A ânsia por "" novidades "" é o sinal mórbido da juventude de um povo. 
Não há nada de novo [que REALMENTE possa ser de Valor REAL ]  debaixo do Sol.
Tudo que tinha que ser dito, já foi dito, mas como ninguém escuta, é preciso estar sempre repetindo, repetindo, repetindo, ...Ad nauseam";0;1
42;"Amo tecnologia,  ela mudou a vida na Terra para melhor, mas hoje eu me preocupo, principalmente quem pode colocar as mãos nela.
Até hoje para você dominar processos tecnológicos necessitava pessoas treinadas, disciplinadas com essa nova revolução qualquer um pode fazer coisas incríveis...e aí vem o problema, meu medo são os políticos, organizações criminosas e ideologias extremadas.";0;0
43;O poder de uma IA ajudar alguém que nao sabe programação e bem limitado, fiz alguns testes com mentorados na empresa, e nao foi muito bom os resultados, usando basicamente o chatgpt. Em resumo, serviu mais com ferramenta de pesquisa do que ferramenta de geração de codigo funcional. Porém quando a pessoa tem alguma experiência com programação a IA ajudou a gerar códigos básicos e que seriam repetitivos de se escrever, mas mesmo assim não foi um codigo totalmente funcional, precisou de pequenos ajustes.;0;0
44;Acredito q esse boom teve mais relação com a liberacao de testes em humanos do Neuralink do anticristo. 😮;0;0
45;Imagina o poder da IA que roda em segredo e bem longe da população?;0;1
46;"A inteligência artificial veio para ficar. 
Uma solução para o mundo é começar em um controle de natalidade humana.";1;0
47;Desde q os seres humanos n deixe a máquina operar como um cérebro q o homem como ser inferior, p mim tudo bm pq a máquina pode ajudar ao homem a desenvolver curas d muitas doenças até mesmo aquelas q ainda vão surgir no nosso organismo. Até aí poderia ser útil pq o homem faz a máquina fazer coisas q seres humanos n fazem, mas os seres humanos pode usar o coração, emoção e sentimentos como por exemplo ajudar pacientes nos momentos mais delicados e é isto q todo ser humano busca encontrar a cura, com empatia e reciprocidade.;1;0
48;e de dar   medo  isso tudo , paresse ser algo bom  so  que nao  e algo tenebroso  e isso mim tras   uma grande incegurança  alarme de um futuro destrutivo e em todos sintidos falando.;0;0
49;"A. MÁQUINA  NÃO  É  MAIS. INTELIGENTE
QUE. OS  SERES. HUMANOS . O. PROBLEMA. É. A
FUSÃO. DAS. MÁQUINAS  QUÊ , FOGEM
AO. ALCANCE. HUMANO .";0;1
50;Era Criança e escutava meu pai falar o  HOMEM SERA ESCRAVO DAS MAQUINAS.;0;0
51;Se o demônio entra em uma boneca e tenta enforcar criança q já vô relato desses imagina um robô  vai ganhar vida de espiritual maligna p destruir tudo;0;0
52;sempre tem um para fazer mal usar essa arma como robo nos ja era ...nao tem marvel para salvar agente ai ferrou ....;0;0
53;Deu até medo 😢;0;1
54;"A inteligência artificial tem avançado rapidamente e a possibilidade de criarmos seres artificiais que se assemelhem aos seres humanos, seja fisicamente ou em termos de inteligência, não é mais apenas ficção científica. No entanto, assim como retratado em ""A Ilha do Dr. Moreau"", é importante considerar as consequências éticas e morais de tais experimentos e avanços tecnológicos.
A criação de seres artificiais traz à tona questões como responsabilidade, direitos e liberdades, bem como a possibilidade de que essas criações se tornem ameaças para a humanidade. É importante que, à medida que avançamos em direção a esse futuro, levemos em consideração as implicações éticas e legais de nossas ações.
Como sociedade, devemos buscar equilibrar o avanço tecnológico com a responsabilidade ética e a consideração pelos direitos humanos e dos animais. A ficção científica, como ""A Ilha do Dr. Moreau"", nos fornece uma lente através da qual podemos examinar e refletir sobre as implicações desses avanços e nos preparar para lidar com eles de maneira consciente e responsável.";1;0
55;As sociedades secretas explora,assalta a HUMANIDADE na cara dura e depois culpa qualquer coisa????e isso mesmo????e minha inteligência q lute?????😢😢😢😢😢😢🦾💪;0;1
56;Um sistema imparcial q é criado por humanos. Dá pra acreditar?;0;1
57;E Assustador tudo isso!;0;0
58;"Quem vai fazer o trabalho braçal daqui a alguns anos!?
Tipo... Pedreiro,  eletricista,  dentre outros!? Já tá faltando mão ✋️ de obra qualificada.🤔🌎🔥";0;0
59;"Estou encantada e assustada. A grande questão em relação a qq inteligência artificial, ao meu ver, é que ela se baseia em conteúdos gerados anteriormente por humanos. A partir do momento em que os humanos pararem de gerar conteúdo, ela vai ""rodar em volta"" dos seus próprios conteúdos e a longo prazo o que vejo é um atraso na evolução, uma vez que o ser humano, com sua capacidade empírica, percebe as coisas de maneira singular e daí surge suas criações, e isso ela não vai mais ter. Outra questão que acho muito importante é que hoje, nós somos privilegiados e estamos trabalhando com ela, ela facilita o que a gente demoraria muito para criar, mas meu cérebro sabe criar, mas as gerações que já nascerem na era onde tudo é criado por uma IA, não saberão mais como criar conteúdos. Vale ressaltar que existem IA para ler, resumir e responder mensagens (já hoje), então para quem estes textos serão criados no futuro? IA será o autor do texto que será lido por outra IA? Para a formação do ser humano é basicamente atrofiar o cérebro, uma vez que ele não é desafiado. Se pararmos para pensar, não há mais a mínima necessidade de se saber escrever, inclusive nem digitar,  a gente aprende a escrever porque que quer, pq não precisaria nem mais existir canetas, há tempos, certo? Daqui a pouco os computadores não terão mais teclado e nem mouse, o celular não precisa mais ter, tem gente que nem usa. E pq não dizer que nem terão mais tela, pq no futuro os comandos serão por chip no cérebro, ou num dispositivo qq ligado ao corpo, e as imagens projetadas direto na retina. Ou seja, nós ficaremos reféns da tecnologia ( mais do que já somos). Sabemos que existem milhões de pessoas em miséria extrema e outras que não tem acesso à tecnologias, Neste cenário, o mundo vai se dividir em dois , entre os que tem acesso a isso e os que não têm, e o abismo entre os dois mundos será tão grande que um não terá como interagi com o outro. Não preciso nem dizer que um deles vai chegar uma hora que não vai mais conseguir sobreviver. Será uma seleção ""natural"" pelo acesso À tecnologia. E só para concluir, se unirmos tudo isso ao meta verso, pronto, estaremos vivendo literalmente numa Matrix, sentados em uma cadeira, e não pq fomos obrigados, mas por vontade própria. As IA estão rindo a toa e chamando os seres- humanos de ""robozinhos"". ** Poucas pessoas lerão este texto, pq ninguém mais tem paciência para textão. Santo Asimov nos proteja.";0;0
60;No entanto eu me preocupo com isso pq se afetar o trabalhador, provavelmente vai ocorrer colapso econômico, pois muitos ficarão desempregados, e o sistema não conseguiria se sustentar, pois máquinas não consomem serviço e nem produtos feitos pelas empresas, apenas pessoas com poder de compra elevada. Vai acontecer como ocorreu na crise de 29, mas desta vez, no mundo inteiro e muito mais impactante;0;0
61;"E assustador como a tecnologia está ocupando espaço humano. 
E útil e ao mesmo tempo assustador.";0;0
62;"Querida professora, compriendo a senhora e gostaria muito de que as coisas realmente estivessem tão distantes, porém, não é verdade, a computação quântica é uma verdade operando em partículas subatômicas que fazem mais do que se possa imaginar. Sou Pastor, amo a Jesus, creio em Deus, e sei que Ele faz e fez o que está além do que podemos idealizar. Ficou já claro que ""Deus joga dados"". Na verdade, querida professora, o homem avançou para áreas que não deveria se aventurar, as coisas, professora, chegaram já, à uma condição insuportável. Deus terá que acelerar para seu Filho logo chegar e cumprir com às Escrituras Sagradas. Quero que a senhora saiba, te ouvi até mesmo emocionado, quanta humanidade e ternura dada por Deus.
Vamos nos preparar para a chegada do Rei. Por favor, leia o Evangelho de João e o seu Apocalipse.Saudações muito respeitosamente!";0;1
63;A inteligência artificial vai superar o ser humano? digo.. já superou e muito. O que está por vir pode ser entendido no filme Blade Runner ou 2001 uma odisseia no espaço;0;0
64;A inteligencia artificial nao tem etica. Isso porque nao  tem consciencia como o ser humsno.;0;0
65;Por enquanto, quando as IA's atingirem o nível 4, no qual se tornarão auto críticas, elas serão capazes de serem superiores à nós! E isto não está muito longe de acontecer não  !;0;0
66;"Obrigado novamente. Ouvi até o final. 
Lúcia, a inteligência artificial não tem alma, ok. Mas também não tem ego!!! Não ter o ego é que é a maravilha nisso!! Quase tudo que você disse que a inteligência artificial não tem, Ela já tem. E as pessoas na imensa maioria não tem!! 
Exemplo o mito da caverna, com certeza a inteligência artificial compreende esse mito, e quase todos humanos não compreenderam.
A inteligência artificial é e Será a salvação da humanidade.";1;0
67;"A IA nunca poderá se equiparar ao que é humano.
Mas, a IA pode ser usada para apagar o simbólico e horizontalizar as relações dentre os humanos.";0;1
68;Mas essa capacidade humana só tem nós levado ao caos a uma sociedade nefasta e podre.... Até ontem muita coisa era impossível e hj a tecnologia as mostrou possíveis, é possível sim a IA atingir essa potencialidade sensorial e emotiva... E é inevitável que a IA chegue a conclusão que os humanos são um vírus destruindo o planeta e provavelmente a IA cure o planeta dos humanos, ou menos mal, que cure os humanos para que deixem de ser um vírus parasita... Aliás a filosofia anda esquecida e em desuso, por isso a sociedade está dessa forma... #tamufu #trevas #saiadamatrix #intothewild;0;0
69;ULTRON;0;0
70;Tem uma história mto legal da DC comics, que é pré crise infinita, onde uma organização aplica vacinas em pessoas ao redor do planeta, contendo nano infectantes, que depois ao comando de um satélite (o irmão olho) elas poderiam se tornar um ser organotecnologico, para desempenhar a função que fosse solicitada. O problema é que com a morte de Max Lord (que controlava o satélite que a principio era do Batman), o irmão olho atinge a singularidade e começa a agir por conta própria.;0;0
71;Ultron vem ai😂;0;0
72;poderão escapar os índios que vivem longe da civilização. pessoal que vivem sem energia eletrica;0;1
73;Porque até eles serão substituídos por uma inteligência superior. O ser humano já era.;0;0
74;Todo artigo de vocês tem lacração política de esquerda. Vocês deveriam ser imparciais! Fracassados!;0;0
75;Tem que criar mais postos de trabalho  para humanizar o trabalho, IA é o reflexo de concentração de riqueza nas mãos de poucos humanos;0;0
76;"Parem de assistir ""Exterminador do Futuro"". Aquilo é só um filme.";1;1
77;Eu acho que os donos da tecnologia vão pagar menos impostos trabalhistas com a dispensa de profissonais humanos, fraudes de àudio e imagem ocorrerão para acusar pessoas sem que tenha um perito para saber o que é falso e o que não é, com a tecnologia todos serão monitorados e até os corruptos serão vigiados o tempo todo.;0;0
78;Desliquemos a internet, e voltemos à idade da pedra.;0;0
79;O homem quer saber mais que Deus. Ele fará um castigo descer e usará a IA pra isso. O homem será prejudicado pelas próprias cagadas que faz. E eu não tenho pena.;0;1
80;Eu tenho receio, e medo de IA, de um mundo cada vez  tecnicista,Positivista,humanista,d+++E o lado mais metafisico,Espiritual,Se cada vez mais abandonado!!!;0;0
81;Problema maior que o crescimento da  IA é o decréscimo vertiginoso da inteligência natural, a estupidez está se tornando pandêmica;0;1
82;Quer mais maldade que já fez e faz o ser humano?;1;0
83;"Tem cientista que teme,e cientista que acha que é só mais um ponto de inflexão. 
O funcionário da locadora passou por isso, os funcionários da kodak, os donos de linhas de telefone,  os taxistas....
Mas as emissoras estão perdendo seus postos. Falam do lobby das bigtechs, só pq tomaram o lobby da cnn, globo, BBC, etc.
Em breve todo esse conteúdo estará sendo produzido pela própria AI, e daí vem o interesse dos gigantes da comunicação promoverem a regulamentação das redes sociais. Não é pq será tarde demais pra nós, e sim pq será tarde demais pra eles. 
A parte bonita da regulamentação é fachada. Se fosse pelas crianças, ninguém seria contra.";1;1
84;"As IAs sao como crianças agora, elas apenas replicarao o que for ensinado pelos seus ""pais"" no caso os humanos, se forem alimentadas com maldade e mentiras serao assim.";0;0
85;Estranho, criamos sistemas de algoritmos tão complexos e inteligentes que possuem o potencial de um dia (se quiserem) articularem entre si e se rebelar contra nós (os seus criadores), além disso, sair do controle e fazer as coisas mais absurdas já vistas🤔. Já vi essa história em algum lugar!;0;0
86;O ser humano mais uma vez criando seu próprio meteoro 😒👌!;0;1
87;O Governo irá colocar muita informação dos cidadãos nesses sistemas com intuito de controle, até PERDEREM o controle....;0;0
88;"É claro q isso vai dar em merd4.Pq o ser humano é uma merd4.Tudo q tiver um uso ambíguo,o ser humano sempre escolhe o lado ruim da coisa.
Só não sei o q Deus ta esperando pra mandar de vez o meteoro.";0;1
89;O arado não acabou com empregos, mas diminuiu a mão de obra no setor da agricultura para praticamente 3%, no fim das contas só foi bom para aquele que já tinha grana, ou seja, o grande produtor. A imprensa em um primeiro momento foi impactada de forma positiva podendo chegar a lugares distantes e em maior volume, no entanto, atualmente, com internet e IA´s vocês realmente acreditam que algum jornal vai pagar para um jornalista escrever aquelas reportagens mais simples? Veja o caos na própria Globo? Sim, as IA´s existem há muito tempo, mas quando elas tiveram tanto poder assim? Como você disse, a partir de 30/11/2022 (para o reto do mundo, vamos dizer assim). Algumas IA´s/robôs mataram outros humanos ou robôs? Assim, é inegável que as IA´s terão seu lado benéfico, mas é inegável também e mais visível que elas trarão grandes problemas para a questão do emprego e da economia como a conhecemos. Como você disse, é melhor observar de longe.;1;0
90;Eu sempre achei q o mundo ia acabar por causa da AI mesmo, a tecnologia ta evoluindo tanto q assusta um pouco;0;0
91;Eu só posso acrescentar uma coisa Daniel Penin. A capacidade de adaptação, aprendizado e desenvolvimento de um ser humano é limitada. Mas um sistema sintético não tem limites. Em 2022 o GPT3 acertava 6% dos cálculos do dataset MATH, afinal, era só um modelo de linguagem, não tinha capacidade para resolver isso, era só um gerador de texto. Entretanto, algo impressionante ocorreu, hoje, o GPT4, com a devida técnica de prompt pode acertar 78% desse dataset, esse dataset é o mais complexo que existe pois tem perguntas complexas que vão desde perguntas de vestibular a perguntas feitas apenas em doutorados de física, matemática, química e etc. Acertar essas questões com 78% de acurácia é um feito impressionante. E o primeiro semestre não acabou. Não me impressionará, se, ao final desse ano, o desempenho matemático do GPT4 chegará a entre 85% a 90% nas questões de matemática mais complexas que existem. Se isso se confirmar, vamos ter uma AGI até meados de 2024. E esse papo de ajudar na produtividade humana vai evaporar.;0;1
92;Vai tentar assumir o lugar de Deus😂;0;1
93;Acredito que a gente não deveria estar discutindo como passar na frente dos outros que serão deixados pra trás nessa nova realidade das IAs, mas sim como construir uma sociedade que seja inclusive e promova dignidade e justiça a todos aproveitando dessa nova ferramenta, que vai aumentar muito a eficiência de produtividade do planeta. A gente devia estar discutindo redução das jornadas de trabalho, políticas públicas inclusivas e formas de controlar esse momento de passagem para a nova era.;0;0
94;O exemplo do arado não poderia ser pior. Esse tipo de máquina tirou o mínimo de dinheiro de um monte de gente humilde, que fazia tudo isso de forma manual. Uma máquina dessas faz o que 100 pessoas fazem e de forma muito melhor. Não entendi ter usado isso como exemplo a favor da IA, sendo que deveria ser contra.;0;0
95;Muitas das mães adolescentes não ensinão os seus bebês mais simplesmente entregam uma máquina que irá ensinar tudo pra essa criança aí os mais velhos serão dominados pelos os mais jovens essas palavras não vêm de mim mas de Deus o Senho.r eu sou só um pecador miserável;0;0
96;legal eles vao ttrabalhar no nosso lugaar e ninguem vai teer dinheiro pra comprar nada ja que nao  tem emprego;0;1
97;"Com o avanço da tecnologia , vão obrigar o povo a colocar um sinal na mão direita ou na testa, apocalipse 13;16.... aquele que aceitar perde a salvação.....amou mais a criação do homem do que a  Deus....";0;0
98;o homem é mais do que a máquina;1;1
99;Cara eu acho que esses caras podem estar inventando o fim dos trabalhos humanos acabando com as profissões e as pessoas ficando sem dinheiro e sem oq fazer sou totalmente contras as máquinas;0;0
100;E A NATUREZA PEDE SOCORRO , SOMOS TORNAMOS MAQUINAS ABUSANDO DE UM SISTEMA BIOLOGICO FINITO ....PELO MENOS PRA NOS...;0;0
101;Fim da liberdade, fim da humanidade. É a besta. O pior de tudo é que ninguém percebe, as pessoas são alienadas. Querem diminuir o carbono. Somos mais de 8 bilhões de pessoas na terra. Nós somos carbono.;0;0
102;O que mais existe hoje??? Dados! Temos informações para todos os gostos e os dados são gerados em escala quase infinita...;1;0
103;Professores estão com os dias contados;0;0
104;"O GPT já se tornou o novo Oráculo de Delfos; mentes menores consulta uma mente maior, divina, sobre seus anseios e neuroses. Os médicos já se sentem assim: Dr., eu sempre espirrei prá direita, ontem, espirrei pra esquerda,... isso é grave?";0;0
105;O gpt pode acabar com a humanidade;0;0
106;Sem dúvidas virá o fim, as profecias se cumprem e a marca do anticristo será colocada em execução.;0;0
107;ele da aula melhor que muito professor ......;1;1
108;SKYNET a caminho hahaha😅😂;0;0
109;"Resumindo.
Agora tem uma ia que pensa por você, logo você não precisa pensar mais...
O povo já andava com preguiça de pensar antes do Chat gpt, agora depois do chat gpt então ... Kkkkk
Agora que as pessoas vão ficar burras mesmo!";0;1
110;"“A inteligência artificial simplesmente refletirá e ampliar a mentalidade e a ideologia de seus criadores e incutir esses valores no restante de nós”.

Musk alerta que os ditos “especialistas de esquerda” estão ""treinando IA para mentir"" sobre história e política.";0;0
111;O ser humano não deveria temer as máquinas (IA) ELAS NAO ESTAO PRESAS A TERRA não dependem de ar nem alimentos para existir ,hoje me sinto como um peixe que não pode sair da água, as máquinas são iguais o primeiro ser a sair da água e ter contato com o ar fora da água, na verdade esse não precisa de ar ,só uma bateria Boa;1;0
112;"Não existe este troço absurdo de ""inteligência artificial""! A bem da verdade, não passa de mais uma expressão ""sofisticada"" para substituir com efeito mercadológico capitalista predador, a verdadeira expressão ""programação computadorizada"", que tem prazo de vencimento, necessidade de ""update"" etc A informática é um produto, um artifício humano, e não uma criatura ou um ser com capacidade cognitiva autônoma. Inventa-se estes artifícios linguísticos perversos só para manipular, sabotar, monitorar, perverter a Humanidade como um todo!";0;0
113;Ou estamos nos comunicando com seres de outros planetas ou a IA é criação de inteligências superiores e extra terrestres.;1;0
114;Consciência foi criada por Deus,nenhuma máquina pode ter!;0;0
115;Que maravilha ☺️ viva a ciência e tecnologia,a próxima evolução humana será robótica,isso é muito provável;1;1
116;Os humanos estão perdendo a consciência e os sentimentos. Então que pelo menos as máquinas os tenham...;1;1
117;Isso tudo não passa de mais uma FACETA DO MAL, DAS FALANGES DE TERROR que investem de formas inovadoras para dominar o homem e fazer dele um boneco fantoche dos sentimentos do mal. Saímos das guerras de espadas para as.guerras de pólvora e agora estamos entrando na guerra tecnológica. A tentativa de destruir o homem é constante. A sua derrocada depende somente de si mesmo.;0;0
118;"O povo do futuro vai lembrar aos risos da época em que o povo do passado achava que um robô virtual plagiador era uma consciência 😂
Espero estar vivo pra rir junto... Principalmente da Globo que até matéria no fantástico pra pagar pau pra latão rico (openAI): ""Estou com medo do que criei""";0;0
119;Não, meus amigos, essa é a ilusão do século tal como um dia se pensou que a terra era o centro do universo. Máquinas jamais terão consciência simplesmente porque não têm vida. Em paralelo, máquinas serão muito parecidas com humanos (ao ponto de acharmos que elas terão consciência) por causa de logaritmos que simularão com perfeição todas as qualidades humanas (inclusive as subjetivas).;1;1
120;Humanizar robôs...;0;0
121;Imaginem como a inteligência artificial estará em 2030! 2040! 2050!;1;0
122;FATO - A verdadeira inteligência artificial não precisará receber treinamento com petabytes de dados, irá aprender como crianças aprendem. O GPT ou LaMDA são incapazes de fazer uma coisa simples que uma criança de 2 anos no meio da Amazônia faz: aprender a lingua da sua própria tribo isolada.;1;0
123;Essa história de maquina com sentimentios é pura idiotice! As IAs são e deverão continuar sendo uma extensão de nossas capacidades para inovar, cumprir tarefas e resolver problemas expandindo nossa capacidade cognitiva que é naturalmente limitada!;1;0
124;Oq somos além de um enorme diário de vocabulários ? As IA'S são praticamente a mesma coisa hoje em dia, só que já estão ficando melhores que nós...;1;0
125;Uma máquina não pode ter sentimentos, porque isso é próprio do que é vivo. Nós experimentamos emoções não apenas porque processamos dados, mas pq o vivo procura manter-se vivo. Daí o medo, a fome, a incerteza, a alegria, a satisfação, a tranquilidade. A ameaça produz reações químicas no corpo, e isso que chamamos de mal estar é o que, então? Há realmente um ‘eu’ q sente ou apenas há um corpo que sente que se afasta ou se aproxima da morte? Se isso tudo é passível de ser emulado numa máquina, não sei, pode ser que sim, nesse caso restaria apenas uma distinção de origem entre um ente biológico e um artificial. Hoje mais do que nunca precisamos de filósofas e filósofos.;0;0
126;maquinas com sentimento seriam o fim da humanidade;0;0
127;A IA nunca vai superar o ser humano, porque o ser humano criou a IA. Assim, como o ser humano jamais superará Deus porque este criou o ser humano. Nunca a I A que é programada por um ser humano, poderá abranger as diversas formas complexas de sentir, amar e criar. Os seres humanos são únicos e complexos . A IA é apenas uma máquina cumprindo ordens de um ser humano complexo e falho.;1;1
128;"IA é benéfico.
Não há motivo de alarde.";1;0
