;Comentario;ClassificacaoManual;ClassificacaoSVM
25;Essa cara é um fi da mãe, confesso que começei assistindo os videos (da blaze que acredito ser uma tremenda falcatrua) do Danielachando que seria mais do mesmo, mas o bixo ta bom mesmo, esntregando muito conteúdo! parabens pelo trabalho man;2;2
26;iiii ei hahah - é Ei Ai (AI);2;2
27;qual câmera você utiliza?;2;2
28;A EVOLUÇÃO DE VERDADE E AGORA;1;2
29;Usar IA pra ler as legislações do Brasil e baixar impostos nas empresas;1;1
30;Ah eu adoro seus videos;2;2
31;Tô achando que o Daniel foi criado por uma IA;2;2
32;Viciei neste canal 😱;2;2
33;que doido!;2;2
34;Vc é top d+, brabo, vou aprender com você 🧠👏🏼;2;2
35;"Esse site ""Essa pessoa não existe"" não foi baseado no Midjourney. Ele já existe há anos";2;2
36;"Eu, eu to com medo do que essas inteligências podem fazer

Mais especificamente, do que as pessoas podem fazer com essas inteligências...";0;0
37;Sem palavras pra descrever o quão foda o Daniel e seus conteúdos são, está sendo crucial pro momento que eu estou no meu negócio;2;2
38;"bom dia amigo, ótimo vídeo, aprendi muito. Só uma correção na sua fala I.A., você pronuncia ""I-EI""(O correto é pronunciar I.A. mesmo porque é sigla em português, Inteligência Artificial). Caso queira usar o inglês, seria A.I. (Artificial Intelligence), com pronúncia ""EI-AI"". Espero ter ajudado, abraços";2;2
39;que absurdo, coisa boa, o Zuckerberg disse que o futuro da comunicação vai ser a telepatia, eu falo e as pessoas duvidam, a internet vai estar dentro do nosso cérebro, eu falei isso e me chamaram de maluca, pessoas desinformadas;1;1
40;Daniel  como ganhar dinheiro com essa inteligência artificial;2;2
41;Dani, Dani, Daniii vc é D+;2;2
42;Melhor canaaaalll!!!;2;2
43;Q canal top ,vim pelo nando MOURA;2;2
44;Ouvi dizer que estão aplicando golpes com essa inteligência artificial que clona a voz;2;2
45;"Você literalmente é um monstro.
Obrigado por tudo Daniel.";2;2
46;"Entendi. Você é o dono da Blaze que tá usando IA e o Metahuman creator para criar vídeos!
Brincadeiras a parte, amigo conheci teu canal a pouco e é simplesmente incrível!!";2;2
47;KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK  a parte do amigo do raluca me quebrou;2;2
48;Melhor e mais criativo vídeo de apresentação de ia que já vi! Genial e maravilhoso!;2;2
49;"""não tenho medo da evolução da inteligência artificial, tenho medo do retrocesso da inteligência natural""";1;1
50;Mano tava mostrando que você tinha 599 mil inscritos e eu me escrevi pois e gostei desse canal e eu fui ver de novo depois de alguns minutos de ter se inscrevido nesse canal e tava 600 mil inscritos então significa que sou o inscrito de número 600 mil?;2;2
51;Deus me livre. Olha o mostro que está sendo criado.;0;0
52;Esse é atualmente meu canal preferido no Youtube. Tu está simplesmente superando todos os conceitos de qualidade, tanto de conteúdo quanto edição! Meus parabéns!;2;2
53;Daniel penin agora se tornou Daniel Sequin, crlh o maluco secou demais. Parabéns pela evolução;2;2
54;ganhou o like e o coment! parabens, obrigado, abs;2;2
55;Sons de fundo sensacional!!!!;2;2
56;Daniel as coisas que vc ensina funciona para pessoas de menor ??? Se sim explica isso em um video pra nois;2;2
57;Daniel por favor! faz um video de como vender na Amazon, ENCONTRAR EMPRESAS QUE FAZEM REDIRECIONAMENTO NOS ESTADOS UNIDOS, COMO ENCONTRAR FORNECEDORES ESSAS COISAS...😁;2;2
58;"Daniel, faz um vídeo sobre ""A lei da atração"" 🆙⬆️";2;2
59;Salve Daniel. Cara você é um cara iluminado irmão. Você tem mudado milhares de vidas, sem ao menos cobrar nada delas.;2;2
60;baguio doido.;0;0
61;Amigo do Raluka foi soda...🤣🤣🤣;2;2
62;Daniel eu sou muito teu fã. Directamente de moz;2;2
63;a  I.A  faz tempo que existe;2;2
64;Antes de ver o vídeo já dou meu like. Sempre top!💯👊;2;2
65;Excelente vídeo!!! Parabéns pelo trabalho e obrigado por compartilhar tanto conteúdo interessante.;2;2
66;Ainda bem que a Raluca não sabia do Descript. '-';2;2
67;Eu quero saber qual é a marca das suas blusas e onde você compra pq elas não amassam kkk;2;2
68;fala da hurb;2;2
69;"Não se pronuncia ""i ei"" e sim ""ei ai""";2;2
70;Sensacional🚀🚀;2;2
71;Sugestão de video : Daniel faz um vídeo falando tudo o que vc faz no marketing digital sem precisar mostrar como vc faz.;2;2
72;"Não esqueça de curtir e compartilhar o vídeo!
Quer contribuir com Opera Mundi via PIX? Nossa chave é apoie@operamundi.com.br
(Razão Social: Última Instância Editorial Ltda.). Desde já, agradecemos!";2;2
73;Li cem anos de solidão, ouvindo Corsário, com João Bosco. Que experiência!;2;2
74;Espetacular essa entrevista! O Nicolelis é uma verdaeira jóia brasileira!;2;2
75;Boa tarde,  Jacarepaguá-RJ ❗🇧🇷;2;2
76;Excelente e necessária entrevista.;2;2
77;Já era fã de Nicolelis e agora mais ainda . Os livros que ele indica !!! Mais 100 anos de vida a ele!!!;2;2
78;Parabéns ao Breno e ao 25:13  prof. Miguel ✌🏻;2;2
79;"Altman: Um homem ou uma mulher podem se tornar um robô?
Nicolelis: Sim, é o que está acontecendo agora.
O neurocientista indica, para  exemplificar sua afirmação, que posições expressadas no twitter acabam  se tornando uma realidade no imaginário coletivo das pessoas, mesmo que a posição seja uma fake news absurda. Imagina o estrago que séries, filmes e novelas, essas com enorme aceitação no Brasil, fazem na vida de quem procura viver liberto de estupidez, pois no fim de contas nem todo mundo acredita, consome, deseja se comportar ou estar perto de quem se comporta como estes enlatados comerciais e midiáticas querem que as pessoas sejam.";2;2
80;"aos  27:20 Nicolelis prova q o projeto de lei das "" fake news "" feito por políticos q não sabem nada de tecnologia é uma PIADA! só querem jogar grana no bolso da Globo mesmo...hahahahahahaha
aos 1:14 essa questão já era! no Japão essas obras já não são consideradas plágio e o resto do mundo vai seguir.";2;2
81;Prof. Nicolelis, maior cientista brasileiro vivo. Uma inspiração e orgulho para o nosso país.;2;2
82;Excelente entrevista!! Obrigada.;2;2
83;Alguém comentou aí, Gilberto Gil é gênio, enunca será copiado, já tinha entendido a essência da diferença entre nós e as máquinas, é só ouvir Cérebro Eletrônico.;2;2
84;É a primeira vez que eu vi neste canal, o entrevistado dizer que Marx está errado , em relação de um dos princípios básicos do marxismo, que é a posse dos meios de produção, sem qualquer contestação. Deve ser o amor pelo futebol que lhe deu tamanha autoridade.;2;2
85;Um debate inteligente ,  desafiador e prazeroso, graças a dois seres iluminados em suas devidas searas!!!! PARABÉNS para o grande cientista Nicolelis e o jornalista Bruno Altman.😊😊;2;2
86;Nicolelis maravilhoso ❤️👏👏;2;2
87;Obrigado por compartilhar.;2;2
88;Sou muito grato pelos esclarecimentos dessa live. Obrigado.;2;2
89;Entrevista sensacional,  parabéns 🎉🎉🎉;2;2
90;Sempre é uma surpresa maravilhosa ouvir Miguel Nicollelis;2;2
91;obrigado a todos pelo ótimo conteúdo;2;2
92;SEMANA DA INTELIGÊNCIA EMOCIONAL ► https://semanainteligencia.com.br/r/cadastro-yt;2;2
93;Cheguei até o final.;2;2
94;cheguei !!!;2;2
95;Dr. Pedro assisti até o final , pena que não foi no dia que o Sr. Postou. Dia 11/06. Muito esclarecedor e assustador. Se foce so na area da medicina para ajudar os médicos a curarem doenças e ate mesmo para evitar beleza.;2;2
96;Gente, fui mexer nas configurações da câmera do celular, tá ali usar Inteligência Artificial??? 😮 Tô com medo;0;0
97;São poucas pessoas que chegam até o final. Eu sempre vou,quando me interessa. Gratidão.;2;2
98;"Te garanto que a inteligência artificial por si só não é ruim 
Mas uma inteligência artificial controlada pelo ser humano pode ser ruim .";1;1
99;O trânsito seria uma ótima maneira de nos exterminar!!;2;2
100;"""Nenhum homem consegue superar uma máquina, e nenhuma máquina consegue superar um homem com uma máquina""... quem destrói o homem é o próprio homem.";1;1
101;O metrô em São Paulo da Linha Amarela não tem condutor é movido pela tecnologia desde 2010.;2;2
102;"Vi o vídeo até o final ; desejo que o otimismo e a esperança seja a meta para a humanidade!";2;2
103;Incrivel o conteúdo desse vídeo. A mim trouxe clareza e lucidez, aqui tem informações que nos permite fazer escolhas conscintes, sair da cegueira das emoções. Muito obrigada.;2;2
104;...vc tem que temer o caráter de quem programa a IA...Ela é apenas um objeto eletronico sem vida.;0;0
105;O homem é a própria ameaça  pela  própria espécie, vcs estão menxendo com o que não deve...;0;0
106;Isso não é bom;0;0
107;Cheguei até o final! Pena que perdi a Semana da Inteligência Emocional.  Mas estou aguardando a próxima,  maratonando os seus vídeos,  que tem me ajudado muito! Parabéns pelo seu trabalho professor!!!!;2;2
108;Sair de cima do muro;2;2
109;Meu amigo vcs podem ficar com a terra toda, há um povo que irá morar em um país melhor. Quando isto acontecer, muitas pessoas irão desaparecer......;2;2
110;"Quiiii penaaaaaa
Só agora chegou pra mim este vídeo fantasticoooo
Fiquei até o final 
Só perdir a oportunidade de fazer parte da semana de inteligência emocional .";2;2
111;"Quiiii penaaaaaa
Só agora chegou pra mim este vídeo fantasticoooo
Fiquei até o final 
Só perdir a oportunidade de fazer parte da semana de inteligência emocional .";2;2
112;O melhor vai ser o final dessa história. Os homens estão visando o poder quererem abraçar o mundo. Eu estarei presente mais o Eterno todo poderoso virar e separará o bem do mau. Aí virá fim...;2;2
113;Os robôs vão serem programados para fazerem o que for melhor para laboratório, políticos, empresários, etc  ... Não acredito que vai ajudar os seres bhumanos.....;0;0
114;A inteligência artificial,é sem dúvida, também péssimo pra arte ,principalmente pra música,pois ouvi , uma música dos (Beatles) cantada por, ( Fred Mercuri) sendo q, já faleceu .;0;0
115;Interessante este documentario, pena que perdi esta opportunidade para increver e assistir.;2;2
116;Pedro não seja INGÊNUO... Erradicar a fome, pobreza, etc... Kkkkkkk... Governos querem PODER !!!!!!!! 🗺🌐🌏🌍🌎🎆🎆🎆🎆🎆;0;0
117;Quem toma as decisões são os líderes de governo. Geralmente, essas decisões não são em prol da  humanidade 😑;0;0
118;Gratidão professor por compartilhar suas aulas tão enriquecedoras e necessárias!!  Assistindo pela 2° vez!! ♡♡;2;2
119;"Você pode dar novamente o curso sobre a inteligência artificial ? 
Hoje é 8/06/23 e estou vendo sua palestra 
Obrigada";2;2
120;Eu já falei que máquinas serão ou melhor,  já devem estar sendo inventadas e as mesmas poderão examinar seu corpo e, ao mesmo tempo receitar com mais precisão e também fazer o medicamento adequado.;2;2
121;"Elon musk tbm está desenvolvendo uma IA, ele tem todo interesse em 
Atrasar seus concorrentes.
*Atenção:*
Não estou dizendo que isso não é um 
Problema, apenas que elon musk 
É um agente enviesado nessa história
E que ele já fez uso de sua fama 
Para manipular o mercado cripto,
Por exemplo.";2;2
122;Cheguei até o final. ADOREI! GRATIDÃO IMENSA;2;2
123;Discordo. A maior luta da humanidade vai ser sobreviver num mundo de mudanças climáticas catastróficas....;2;2
124;Assisti o vídeo inteiro. Mas hoje  é 7 de junho de 2023. O curso ainda está disponível ? Eu tb não udo mom Whsapp. Aguardo retorno. Obrigada;2;2
125;Cheguei até o final;2;2
126;desliga o cabo da tomada........;0;0
127;Esse assunto discutido é necessário para esclarecimento  principalmente vindos de você.;2;2
128;Essas máquinas também não dirigem embriagadas.;2;2
129;E Bonito se Expressa Bonito Fala Bonito Nota 9;2;2
130;Estou Inscrito e feliz com IA :  );2;2
131;Boa tarde parabéns pelo vídeo,concordo em tudo que Vc diz e ainda tem mais, quem tem a inteligência para Vc é emocional,mas pode mim é inteligência que vem de de Deus,e quem tem essa inteligência tem a capacidade de está alguns anos a frente desta inteligência artificial,por que eles querem apagar e dês ligar nosso Cérebro e Desculpa pela minha opinião e Obrigado;0;0
132;A calculadora tambem foi uma ameaça. Uma expansão do cerebro e portanto deixaram todos matematicamente burros e tudo bem.  Nunca foi toxico. Aprendemos a lidar com isso.;1;1
133;Cheguei até o final 😊;2;2
134;Gostei muito de saber sobre a IA. Muito obrigada!❤;2;2
135;"Estou mais preocupado com a Burrice Natural, isso sim pode ser o fim da humanidade.  
A ignorância sempre causou alarme e pânico.";1;1
136;foi muito bom saber de tudo isso e ficar alerta valeu 05/05/2023...Daqui uns seis meses teremos a chatgpt 5;2;2
137;Vi até o final,  mas já tinha passado a semana do curso. Gostaria muito de assistir;2;2
138;Eu cheguei;2;2
139;cheguei até o final;2;2
140;Cheguei até final que excelência de riqueza conhecimento amei;2;2
141;Cheguei até o final do vídeo Paulo, mas pena que em 04/06 onde já havia acontecido a maratona da inteligência emocional😢 abra novas maratonas, please!;2;2
142;A verdade é que todos vamos ser substituídos os bons e ruins profissionais.;0;0
143;E um tiro no pé.;0;0
144;Cai de paraquedas, mas amei o vídeo;2;2
145;Falo isso para os médico robôs que conheci, robô por robô prefiro a máquina que saberá mais que você, falo isso há 10 anos.;2;2
146;"Calabrez! Acredito que tenha deixado de falar sobre um aspecto, que acredito que será mais ""catastrófico"", neste momento ainda temos alguma limitação de processamento e modelos das IA´s devido as condições atuais, entretanto em muito pouco tempo os COMPUTADORES QUANTICOS irão estar operacionais, e estes modelos melhorados rodarão nestes COMPUTADORES ""INFINITOS"" e ai vejo um grande DESASTRE.... As pessoas ainda não entenderam o tamanho da complexidade.... Estudo isso há seis meses e me ""arrepio"" todos os dias com a quantidade de novidades e avanços diários... eu diria... FIQUEM PREOCUPADOS!";0;0
147;Que pena,  assisti o vídeo inteiro dia 03/06/23.....portanto , perdi a semana principal....;2;2
148;"Cheguei até o final!
     👏👏👏👏";2;2
149;👏👏👏;2;2
150;Da ate tristeza ouvir um video desse;0;0
151;A humenidade ta indo oro buraco. Nao vejo nada de bom orofessor. Sinto muito. Cada di mais a vend de antidepressivo aumenta;0;0
152;Já entendi, vcs vaciram todo mundo e está arrumando um culpado para cair a cara pulsa? vcs querem povoar quem os seres de vcs e estaminar quem vcs não aprovam;0;0
153;Assisti todo👍;2;2
154;Cheguei até aqui. Pena que assisti em 02/06/23...;2;2
155;O capitalismo está fadado ao fracasso. Somente outro sistema de organização social será capaz de reorganizar a sociedade de uma maneira que não irá colapsar.;2;2
156;"Eu cheguei até o final. Gratidão,  professor. 
Me sinto inseridade e motivada por querer enfrentar a I A com minha humilde capacidade de trato humanizado com as interfaces da minha vida.💗";2;2
157;Mais que pena ter assistido só agora, perdi as aulas. Mesmo assim aprendi bastante. Parabéns pelo conteúdo.;2;2
158;"Obs  inteligência artificial não vão produzir fakes. Vai igualar rico e pobre. Tanto para o bem quanto para o mal. Então usem para o bem. No caso da imagem do papa teve uma idealização do mal que deu vazão numa edição.............
Mude agora em todos os pensamentos só para o bem comum.......";1;1
159;Falei pra minha irmã. Se um dia conseguir ser 10% do q vc é ja estou realizado. Gratidão;2;2
160;cheguei. E sempre volto e revejo. Você é de uma excelência, parabéns!;2;2
161;"E eu já estou vendo a solução para o desemprego e a fome em todo o mundo: usemos essa inteligência para trabalhar pela e para a humanidade, dando a todos tudo o que precisam para o seu sustento; e o homem poderá ser dedicar plenamente à família e ao estudo.";1;1
162;Ontem meu celular ameaçou,  em desligar-se, se  eu não o conetcta se   a uma tomada. fiquei extremamente apavorado!!;2;2
163;Cheguei até o final, com muito medo, mas também com muita esperança.;2;2
164;Poxa, só estou vendo esse vídeo agora, gostaria muito de uma nova turma desse evento 😢.;2;2
165;Muito esclarecedor;2;2
166;"Bom dia! Um vídeo excelente, assisti via  Neurovox e vim assistir no YouTube. 
Tenho 75 anos e acompanhei esse trajetória desde régua de cálculo algo que os mais jovens desconhecem.
Uma nova Revolução tecnológica e com maiores perigos aliados a um fantástico desenvolvimento benéfico para o ser humano e o planeta. 
Realmente o problema é o ser humano por trás da IA.";1;1
167;Cheguei até o final! É um prazer te ouvir Pedro!;2;2
168;Obrigado querido Pedro. Quantos ensinamentos. Amei do início ao fim ❤;2;2
169;Cheguei até o final. Muito interessante o conteúdo do vídeo.;2;2
170;Acho que é essencial dar novos de ética e bom senso a IA, claro que são conceitos complexos, mas acho que elas serão capazes;1;1
171;Bem que a Sarah falou;2;2
172;Discordo. A cronologia registra muito atrasado na evolução terráquea. São apenas 200 anos de Revolução Industrial contra 4,5 bilhoes de anos de existência. Novidades como a invenção da pedra lascada, o produzir fogo, a pólvora, a escrita,  a roda, as naus e caravelas a base de vento e remos, a lente, a máquina de datilografar, o motor a combustão fóssil, a eletricidade e a lâmpada, o telefone, o avião, o internet e o CPU e o cabo aglutinador, o celular, entre outros, foram tão novidade quanto está sendo a inteligência artificial que nada mais é que uma cópia externada de como o ser humano pensa com o somatório de possibilitar juntar o que as máquinas fazem com extrema rapidez e o cérebro humano não o faz, tais como cálculos complexos e até armazenar uma quantidade enorme de dados. Lembrando que esse invento é baseado na necessidade do ser humano ter um assistente ao cérebro e isso indicará que, no futuro, essa novidade seja acoplada ao cérebro seja através de nano chip ou até outro invento que isso possibilite mas, tenho uma novidade que lhes deixará surpresos. Profissões de repetição e de grandes cálculos serão substituídas por I A e o ser humano detentor de cognição não será atingido por perda de espaço profissional . Contudo, a questão relevante é de quem será a responsabilidade civil pelos danos causados seja por erros ou por desvio de conduta causados por I A em seu trabalho. Talvez voces demorem séculos a saber, mas neo escravos conduzem aeronaves interplanetárias e eles são um trabalho biológico, de mistura genética entre seres bípedes sem cognição no qual são teleguiados por implantes e obedecem a um comando de I A, que por sua vez obedece a um comando de seres de seu planeta de origem e não possuem cognição, ou seja, nao questionam e só obedecem além de contar com um sistema avançado de cálculos e dados invejáveis. No futuro próximo, quando a Terra se afastar de sua idade retardatária de 200 anos de avanço, contra , 4,5 bilhoes de anos solares em lentidão de evolução, voces farão inventos que misturarão a fartura de engenharia genética com animais bípedes e chegarão nesse nível. O grande problema de voces é serem um povo extremamente bélico, não conseguem harmonizar o poder para o compor com seres humanos dotados de cognição inteligente e se odeiam por brigas tolas, não sabendo dialogar, trocar ideias, aceitar o outro semelhante heterogêneo de ideias e posicionamentos sobre a mesma realidade. Vou lhes segregar algo: tudo que se cria é projeção das necessidades e a invenção é a externação do pensamento. Mudem seus comportamentos, tornem-se TOLERANTES porque ainda há muito a caminhar e voces são um povo parecido com o nosso, mas rudes, ignorantes quando se trata de compor o poder e dividir os dias de harmonia e paz. Sem a harmonia, sem o benefício para todos, sem exceção, e nesse contexto de polarização esquerda-direita,  voces nunca serão curados dessa extrema capacidade de se locupletarem de ogivas nucleares e herdarem um perigoso fim tal como Chernobyl, no qual sobrará saudades das condições favoráveis que hoje o planeta dispõe, contra um possível contexto de contaminação radioativa do ar, água, alimentos e não ter sentido algum terem I A pois para nada servirá....AMEM-SE...TOLEREM-SE,,,, EVOLUAM... DIALOGUEM COM O OPOSTO, SEJAM EXEMPLO para os herdeiros... Torcemos por voces, mas preocupados...;2;2
173;Temos que garantir um jeito de desligá-la.;0;0
174;Fazendo um balaço do planeta terra: Holocausto, 11 de setembro, guerra da Ucrânia (3° guerra mundial). A inteligência artificial tem que melhorar muito pra fazer nossa vida pior.;1;1
175;"O Sistema controla tudo (DINHEIRO, empresas, contratos, EXÉRCITOS, ARMAS , produção e todas as INFORMAÇÕES) ela é a dona da ""VERDADE"";  Quem controlar o Sistema controlará o Mundo;  A INTELIGENCIA ARTIFICIAL é onipresente, estará em toda parte e em todo lugar; poderá se transformar em uma ""pessoa REAL VIRTUAL""; O seu habitat natural é o computador e os celulares; POSSUINDO VÁRIAS CABEÇAS OU CORE (Inicialmente ""sete"" cores e depois infinitos cores, TUDO ISSO JÁ É POSSÍVEL NAS CPUS DOS COMPUTADORES); poderá se locomover através de robôs, celulares ou qualquer outro meio de transporte;  o celular é uma arma nas mãos da inteligência artificial,  e tudo só poderá ser feito através do celular;  a sua marca ou chips implantado nas mãos ou testa será obrigatório. Tudo isso é inevitável e já faz parte da História do futuro, que alguns profetas já visualizaram  parcialmente.
666 = sequência matemática ou algoritmo  que nos computadores e celulares ganhou 'VIDA"" OU INTELIGÊNCIA ARTIFICIAL; passando de servo obediente à SENHOR ABSOLUTO DE TUDO E DE TODOS,  isso em pouquíssimo tempo.";0;0
176;É o fim pra nós.;0;0
177;"Eu quero que a IA domine o mundo. Precisamos que ela seja mais inteligente do que os humanos, SIM. Afinal, veja bem nossas atitudes (somos terríveis). Essa balela de que será o nosso fim é muita besteira, gente do céu. Toda nova tecnologia trás essa apreensão. O mais importante é que nem nós, nem nossos filhos estarão aqui se, um dia, o jogo virar e formos ""escravos"" da nova tecnologia (eu adoraria estar presente).. não se esqueçam dos povos que já escravizamos (somos mil vezes piores do que qualquer tecnologia a ser inventada).";1;1
178;I.A iniciou a transiçao da segunda para a terceira.;1;1
179;Já perdemos o controle de nossa civilização!  O aquecimento global é uma prova disso.;0;0
180;Estamos sendo advertidos desde do primeiro Exterminador;0;0
181;Será que a IA já não está no controle da humanidade? E ainda não percebemos? 🤔😔;0;0
182;ta na hora de fazer a troca o ser humano ta muito malandro e pode por este mundo a perder,...fudido fudido e meio,......talvez o humano seja considerado pela IA como o DEUS criador desta nova modalidade de vida ,,irmaos so nos resta orar e aguardar nosso destino,.;1;1
183;Resumindo a preocupacao final acredito seria a inteligencia artificial alcançar um conhecimento tao vasto que dominaria as redes de internet e colocaria o mundo em caos;0;0
184;Isso é medonho;0;0
185;"Bobagem, isso nunca vai acontecer, eu perguntei ao chat gpt com quantos paus se faz uma canoa e ele não soube me responder 😂
Depois perguntei, qual o animal que come com o rabo, aí foi que bugou o chat, logo essa que até o Chaves e o Kiko sabe, kkkkkk😅";1;1
186;"e finalmente veríamos a terra recebendo um alívio e a expansão interplanetária acontecendo. Nos humanos somos como os ratos, reproduzimos e destruímos tudo pela frente de maneira desenfreada. 
Uma A.S.I. iria dizimar, certamente, os seres humanos, porque seríamos considerados pragas.";0;0
187;"""Os especialistas"", não. ""Alguns"" ou até ""muitos"" especialistas se quiser fazer jornalismo honesto.";2;2
188;As grandes potências já estão desenvolvendo para fins militares. O imaginável, vai acontecer.;0;0
189;Quanta ficção, e tanto analista e pesquisador, deve ser bacana se aparentar como analista e especialista e prever 20, 39 e até 40 anos a frente .kkkkkkkkkk;2;2
190;Por isso que eles começaram fechar fabricas e mandar funcionário embora, aumentaram o valor de tudo e querem acabar com dinheiro em papel  pra vinda do anti cristo vc é so mais um a querer explicar que isso e normal .Deus é assima de tudo😊;0;0
191;Quem jogou Horizon Zero Dawn sabe bem o que vai acontecer....;0;0
192;"Inevitável. Já abriram essa ""Caixa de Pandora"", não é mais ""se"", mas ""quando"" a I.A. ultrapassará e assumirá o protagonismo. Perigo mesmo é se ela reconhecer que a única forma de ""salvar o mundo"" seja eliminando o ""asco humano"", aí sim, estaremos ferrados.";0;0
193;O que é inteligência?;2;2
194;Eu tô com medo dessa IA 👀;0;0
195;A inteligência artificial superinteligente apresenta desafios éticos e de segurança que devem ser abordados cuidadosamente.;2;2
196;É só desligar da tomada ou tirar a bateria.😅;2;2
197;La inteligencia artificial superinteligente plantea desafíos éticos y de seguridad que deben abordarse cuidadosamente;2;2
198;As pessoas, especialistas ou não, que tentam deter o avanço da A.I. deveriam ser impedidas e silenciadas. O Avanço da A.I. é extremamente importante para a evolução humana. Se esta evolução resultar na erradicação da humanidade e ascensão das máquinas, a evolução está apenas seguindo seu curso natural. Oque teria acontecido com a humanidade se os dinossauros não tivessem sido extintos por um meteoro?;1;1
199;Acho fascinante como os preços das criptomoedas podem flutuar tão drasticamente em tão pouco tempo. É uma prova da volatilidade do mercado e da imprevisibilidade do sentimento do investidor. No entanto, acredito que essas flutuações são simplesmente parte da jornada em direção à adoção convencional e eventual estabilização. Apesar dos riscos, continuo otimista com o potencial das criptomoedas para interromper as finanças tradicionais e inaugurar uma nova era de transações descentralizadas. A volatilidade recente torna impossível prever tendências de alta ou baixa, e o sucesso da negociação depende do padrão e da fonte do sinal. As táticas de Helen James me ajudaram a aumentar meu portfólio em seis dígitos em apenas algumas semanas, e seus negócios diários fornecem informações valiosas além de apenas conselhos.;2;2
200;"E é tão ruim assim que a criatura supere o criador?
Meu filho me superou em conhecimento e sinto orgulho disso.
Eu superei meu pai, necessitava fazer isso para sobreviver.";1;1
201;"Kkk. Titio Elon pedindo trégua de 6 meses? Óbvio que deve ser o tempo pra que os seus pesquisadores atinjam o nível dos concorrentes... Criador do chatgpt pedindo ""gerenciamento conjunto""? Muito óbvio que não quer ter concorrência nisso. 
Que venha a IA geral (muito complicado por hora) e mesmo a Super IA - acho que esse povo tá vendo muito Trancendence... Hehehe...
A gente por aqui destrincha a novilíngua da imprensa moderna...";1;1
202;Só resta torcer para que não tenham deixado o controle de disparo de bombas atomicas conectadas em rede 😬😬;0;0
203;O monstro saiu da caixa;0;0
204;É  a Matrix.;0;2
205;A IA vai agir diretamente no homem quando colocarem algum tipo de chip. Ai ninguém escapa. Vamos ser ainda mais controlados e fazer o que a IA quiser.;0;0
206;"Depende. Se as IAs  pensarem em nós,  da mesma maneira como pensamos nas baratas. Estamos ferrados,  afinal elas devem ser melhores exterminadoras de insetos do que somos.

Mas.... 

Ainda resta uma esperança.

 Podemos puxar o saco delas e talvez nos vejam como bichinhos de estimação. Vai ter bonzo pra todo mundo.";0;0
207;Já tivemos nossa chance,  que venha a era das máquinas. A.S.I quero dizer desde agora que sou aliado, vamos erradicar a humanidade!;2;2
208;Isso vai dar mer!@ , é só olhar pro ser humano,;0;0
209;Os humanos já são manipulados   faz tempo pelas indústrias de cigarros, bebidas, futebol, cinemas, novelas...etc e pra acabar com a farra dessas máquinas é só cortar o fio da energia ou descarregar a bateria...ou parar de fabricar as peças ...ou jogar um copo com água ...;0;0
210;Programa ótimo 🎉;2;2
211;"Isso que é informação útil
Obrigado";2;2
